competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_archive,source_status
201602,2016-02-01,2016,2,50,MS,Mato Grosso do Sul,Center-West,595,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,51,MT,Mato Grosso,Center-West,60,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,15,PA,Para,North,-1949,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,25,PB,Paraiba,Northeast,-535,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,26,PE,Pernambuco,Northeast,-334,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,22,PI,Piaui,Northeast,-297,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,41,PR,Parana,South,-968,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,33,RJ,Rio de Janeiro,Southeast,-3718,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,24,RN,Rio Grande do Norte,Northeast,-785,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,11,RO,Rondonia,North,-1039,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,14,RR,Roraima,North,39,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,43,RS,Rio Grande do Sul,South,-238,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,42,SC,Santa Catarina,South,-1148,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,28,SE,Sergipe,Northeast,-29,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,35,SP,Sao Paulo,Southeast,-2879,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,17,TO,Tocantins,North,87,CAGEDEST_022016.7z,integrity_ok
201603,2016-03-01,2016,3,12,AC,Acre,North,-85,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,27,AL,Alagoas,Northeast,-522,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,13,AM,Amazonas,North,-178,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,16,AP,Amapa,North,-64,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,29,BA,Bahia,Northeast,-67,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,23,CE,Ceara,Northeast,-1646,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,53,DF,Distrito Federal,Center-West,0,implicit_zero_fill,implicit_zero_fill
201603,2016-03-01,2016,3,32,ES,Espirito Santo,Southeast,-137,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,52,GO,Goias,Center-West,0,implicit_zero_fill,implicit_zero_fill
201603,2016-03-01,2016,3,21,MA,Maranhao,Northeast,-1542,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,31,MG,Minas Gerais,Southeast,-2179,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,50,MS,Mato Grosso do Sul,Center-West,0,implicit_zero_fill,implicit_zero_fill
201603,2016-03-01,2016,3,51,MT,Mato Grosso,Center-West,0,implicit_zero_fill,implicit_zero_fill
201603,2016-03-01,2016,3,15,PA,Para,North,-1398,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,25,PB,Paraiba,Northeast,-529,CAGEDEST_032016.7z,salvaged_exit_2
