pseudo_treated_state,period_date,event_time,augmented_gap
MS,2016-11-01,-16,1.9420652888821912
MS,2016-12-01,-15,0.6857277624165745
MS,2017-01-01,-14,-0.8129592178539753
MS,2017-02-01,-13,1.5607562548779614
MS,2017-03-01,-12,0.8162371935633246
MS,2017-04-01,-11,-1.3115945565378586
MS,2017-05-01,-10,-1.349328480084386
MS,2017-06-01,-9,0.6834214332795907
MS,2017-07-01,-8,-1.12674116410331
MS,2017-08-01,-7,-0.4805717740626545
MS,2017-09-01,-6,-0.4098852755170246
MS,2017-10-01,-5,-0.23912324513147265
MS,2017-11-01,-4,-0.23303522449032954
MS,2017-12-01,-3,-2.4944766437399917
MS,2018-01-01,-2,-1.596899592944811
MS,2018-02-01,-1,-0.5212518147429976
MS,2018-03-01,0,-1.728577242901948
MS,2018-04-01,1,-2.383626153829205
MS,2018-05-01,2,-1.1974275213321088
MS,2018-06-01,3,-0.052110877366999375
MS,2018-07-01,4,-0.4001357507960617
MS,2018-08-01,5,-0.8222049599349492
MS,2018-09-01,6,-2.058349478003671
MS,2018-10-01,7,-0.44784944721593395
MS,2018-11-01,8,0.15197155619765168
MS,2018-12-01,9,-2.634190777657748
MS,2019-01-01,10,0.007136905231371227
MS,2019-02-01,11,-0.7351322856831213
MS,2019-03-01,12,0.66238620277585325
MS,2019-04-01,13,0.28750249257262395
MS,2019-05-01,14,0.3695415348809953
MS,2019-06-01,15,3.32961919654972
MS,2019-07-01,16,1.463097572369347
MS,2019-08-01,17,1.5194511458780198
MS,2019-09-01,18,1.8697970597653617
MS,2019-10-01,19,3.1402858734204333
MS,2019-11-01,20,2.2672635040615976
MS,2019-12-01,21,0.31713784365228115
MS,2020-01-01,22,0.18733470781560346
MS,2020-02-01,23,0.9809105503175798
MT,2015-08-01,-31,-0.2758498593533747
MT,2015-09-01,-30,0.3713217914479674
MT,2015-10-01,-29,1.1981655031920773
MT,2015-11-01,-28,0.4561469179490607
MT,2015-12-01,-27,-1.6632528922076117
MT,2016-01-01,-26,-0.6086948104868553
MT,2016-02-01,-25,2.3593811517070806
MT,2016-03-01,-24,1.6731784331798423
MT,2016-04-01,-23,0.25639202866557387
MT,2016-05-01,-22,0.64897421522157694
MT,2016-06-01,-21,2.485599919872314
MT,2016-07-01,-20,1.4327744343097362
MT,2016-08-01,-19,-1.30342080820825
MT,2016-09-01,-18,-0.5101392548946149
MT,2016-10-01,-17,1.7775161174758138
MT,2016-11-01,-16,0.4068506869429278
MT,2016-12-01,-15,-1.9037908539300874
MT,2017-01-01,-14,0.15918116325312326
MT,2017-02-01,-13,0.9930450188647115
MT,2017-03-01,-12,0.6142221931122949
MT,2017-04-01,-11,-1.382819407318387
MT,2017-05-01,-10,-0.8485813556265331
MT,2017-06-01,-9,2.123184093525375
MT,2017-07-01,-8,-0.7444712368221191
MT,2017-08-01,-7,-0.5867332059697818
MT,2017-09-01,-6,1.0092720169245721
