outcome,short_label,channel,channel_slug,pseudo_treated_state,pre_rmspe,crisis_rmspe,post_rmspe,mean_gap_crisis,mean_gap_post,post_pre_rmspe_ratio,abs_post_mean_gap
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,PI,3.1964060678259822,,33.103550711355616,,-26.491184169922242,10.356491011753963,26.491184169922242
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,PR,3.6600436540862695,,15.246157407009804,,-3.822846363379082,4.165567093711621,3.822846363379082
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,RJ,8.926310340026621,,33.75516141997477,,-17.17537742520859,3.781535722392787,17.17537742520859
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,RN,4.808231790471379,,13.079099517992443,,3.616284776455654,2.7201474654178894,3.616284776455654
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,RO,7.0306720607132025,,20.85421799073095,,5.682441762312655,2.96617703267125,5.682441762312655
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,RR,4.50594220655143,,42.30712881986688,,28.131905029309667,9.38918585292867,28.131905029309667
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,RS,4.493965058604577,,42.6816900137319,,-36.68668554535679,9.497557158796647,36.68668554535679
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,SC,4.811963511043242,,65.2028476052027,,54.44274535857659,13.55015420536026,54.44274535857659
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,SE,4.736810218260813,,19.254985858553738,,-5.127848608725286,4.06496882318065,5.127848608725286
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,SP,6.505212985038507,,21.92487317089592,,-0.3587501809462701,3.370354394440498,0.3587501809462701
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,AC,4.910376029972678,,71.49368314194598,,70.57636510384455,14.559716548295341,70.57636510384455
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,AL,2.373132005433082,,81.95471768148931,,-81.0649489735007,34.53441169469757,81.0649489735007
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,AP,5.334964723970016,,70.04736679508305,,-58.289292315626454,13.129865035538094,58.289292315626454
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,BA,1.1930758808667064,,14.514278856218805,,13.625941963549305,12.16542810812247,13.625941963549305
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,CE,0.6182319574707436,,36.81938992353523,,35.13505123387739,59.555947373163136,35.13505123387739
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,DF,3.63566400845674,,169.05148197866245,,-137.09886822818126,46.49810367114235,137.09886822818126
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,ES,1.9724135794980047,,79.19609644093856,,75.76481092951936,40.1518714250054,75.76481092951936
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,GO,1.6200216860309007,,30.68315301061602,,-29.46618434372015,18.939964369113245,29.46618434372015
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,MA,0.6899672772678169,,48.04266788928819,,-46.68978622075293,69.63035707944161,46.68978622075293
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,MG,3.2260780469430195,,13.568004925707967,,-1.6535074753586008,4.205727427631453,1.6535074753586008
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,MS,4.9595424183477945,,165.1811441227746,,-105.78209233090398,33.305722623056525,105.78209233090398
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,MT,10.739523299973088,,284.04669907501847,,29.519027383430714,26.448725063591066,29.519027383430714
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,PA,3.9589496622241995,,87.08703437074765,,60.76358141291241,21.997509895546585,60.76358141291241
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,PB,1.2959497489714515,,13.483064474188012,,-12.442861640017801,10.404002535506514,12.442861640017801
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,PE,2.226799247929381,,11.796909327875296,,10.918518999909098,5.297697733122916,10.918518999909098
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,PI,0.6326525834038401,,29.88340689147138,,28.868677348552602,47.23509818088572,28.868677348552602
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,PR,7.557105929906505,,156.42374979053758,,-137.6245677099557,20.698896011435536,137.6245677099557
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,RJ,3.2970853660982784,,26.274141745427123,,24.76440696642131,7.968899445427326,24.76440696642131
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,RN,9.585831967575587,,47.85651345876668,,-47.514635271241055,4.992421484190732,47.514635271241055
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,RO,4.035863456341902,,86.9594521888764,,-68.9451246037998,21.546678456683036,68.9451246037998
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,RR,5.8514433601365115,,242.74233802409927,,128.03808516532973,41.484181437660915,128.03808516532973
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,RS,3.396526865252658,,154.14008441848358,,-94.55237619394555,45.38167679324908,94.55237619394555
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,SC,1.9680862039686668,,43.404579368763585,,37.338553393861055,22.054206406832073,37.338553393861055
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,SE,1.4916508984092514,,20.8640869519066,,20.40412339446779,13.987245255680664,20.40412339446779
icms_revenue_real_pc_ma4_clean,"ICMS, MM4",Mercado de trabalho e investimento privado,labor_investment,SP,1.2957050912306807,,172.81216971457735,,150.78802464842022,133.3730729964468,150.78802464842022
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,AC,0.005933082247144153,,0.04938856019015562,,-0.03829081198919673,8.324266904260167,0.03829081198919673
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,AL,0.0033825877118115904,,0.055781758234295355,,0.05219851847921865,16.490853449124806,0.05219851847921865
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,AP,0.005581318733635636,,0.07488312656573508,,0.060920347104635376,13.416744346538454,0.060920347104635376
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,BA,0.002476477452825011,,0.00645077424976907,,-0.001945320380161381,2.604818486197171,0.001945320380161381
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,CE,8.819889112275387e-4,,0.013979128327531216,,-0.011106872847411032,15.849551110654303,0.011106872847411032
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,DF,0.011331175093408407,,0.045725619630014064,,0.029508072356847072,4.035381966395847,0.029508072356847072
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,ES,0.0019040066855129276,,0.042191788206898985,,-0.0420588276535461,22.159474821136342,0.0420588276535461
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,GO,0.005552709680081904,,0.045274468267210106,,9.005944745736226e-4,8.153581021823257,9.005944745736226e-4
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,MA,0.0030785360961218867,,0.04487708856050153,,0.04254938112912076,14.57741184747984,0.04254938112912076
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,MG,0.0015661961410580278,,0.042403095360331836,,-0.04005412182677507,27.073936813359058,0.04005412182677507
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,MS,0.002865133705635908,,0.033877986785376964,,-0.017031414603762618,11.824225417032622,0.017031414603762618
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,MT,0.00617205043965957,,0.015923703582744295,,0.011133406923379151,2.579969774780809,0.011133406923379151
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,PA,0.003503613976548652,,0.01753999625510065,,-0.016020359341393602,5.006258215803498,0.016020359341393602
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,PB,0.009082118951907718,,0.057301450982239856,,0.047496292429337526,6.309260128133817,0.047496292429337526
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,PE,0.0024977462776726938,,0.010509144988974537,,-0.00781628184327612,4.20745096606312,0.00781628184327612
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,PI,0.0031955838424668833,,0.05281558098557969,,-0.04778790931083392,16.527678067369322,0.04778790931083392
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,PR,0.004044011451843713,,0.04662424382322958,,0.011304232754683365,11.529206674717262,0.011304232754683365
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,RJ,0.003161541191142143,,0.05380857856188639,,0.043938712117797214,17.01973034943993,0.043938712117797214
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,RN,0.0062846993265233695,,0.03394951729738832,,-0.027373990202315845,5.401931824186224,0.027373990202315845
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,RO,0.003290078387538532,,0.03285887035969269,,-0.005245317718206466,9.987260633104858,0.005245317718206466
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,RR,0.0029965719941773324,,0.021738016477560865,,0.006925816084404703,7.254294747398097,0.006925816084404703
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,RS,0.0038766359702446635,,0.0515744879342162,,0.04202256272463693,13.303928542705343,0.04202256272463693
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,SC,0.0037979408341096968,,0.017781619248683173,,-0.01123994035629652,4.681910547153506,0.01123994035629652
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,SE,0.0031984533287755935,,0.028965062270579756,,-0.02743796701577059,9.055959019313853,0.02743796701577059
priority_expenditure_share_total_ma4_clean,"Áreas prioritárias/despesa total, MM4",Setor público estadual,public_sector,SP,0.004018579004623853,,0.029733919030498174,,-0.026977139801344516,7.399112720263995,0.026977139801344516
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,AC,0.0012834820895049068,,0.020432077004172513,,-0.018506843187655136,15.919253701509794,0.018506843187655136
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,AL,0.0037065973002002577,,0.01719839803153223,,0.013110706203001938,4.639942415811678,0.013110706203001938
