period,period_date,year,bimester,uf,state_abbrev,state_name,macroregion,total_revenue_nominal,total_revenue_real,state_tax_revenue_nominal,state_tax_revenue_real,federal_current_transfers_nominal,federal_capital_transfers_nominal,federal_transfers_nominal,federal_transfers_real,transfer_dependency_ratio,own_revenue_ratio,liquidated_expenditure_total_nominal,liquidated_expenditure_total_real,liquidated_expenditure_health_nominal,liquidated_expenditure_health_real,liquidated_expenditure_education_nominal,liquidated_expenditure_education_real,liquidated_expenditure_public_security_nominal,liquidated_expenditure_public_security_real,public_investment_liquidated_cumulative_nominal,public_investment_liquidated_nominal,public_investment_liquidated_real,public_investment_flow_is_derived,public_investment_negative_flow_flag,ipca_month_code,deflator_base_month,source_system,source_frequency,fiscal_series_version,social_expenditure_share_real,pilot_id,treated_unit,donor_pool_main,excluded_from_main_donor_pool,transition_period,analysis_period,post_treatment,treated_post,fiscal_main_window
2015B1,2015-02-01,2015,1,11,RO,Rondonia,North,1225929333.42,2238343392.6790423,524066462.99,956858338.225652,,,0,0,0,0.4274850504865571,639826519.68,1168216979.3516998,88913936.83,162342084.16018757,112822422.88,205995009.59405705,112104939.61,204685004.28381452,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.4905099892967288,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,14,RR,Roraima,North,589814097.93,1076902601.9856777,125940150.8,229945802.52824816,,,0,0,0,0.2135251619823892,250258322.71,456930140.93901074,284094.98,518710.25844719424,49189992.88,89812758.81678882,41870731.24,76449002.45288885,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.3650021230496722,rr_2018_01,TRUE,FALSE,TRUE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,43,RS,Rio Grande do Sul,South,6542748223.54,11945971808.39786,4574681363.12,8352608526.125797,,,0,0,0,0.6991987475019842,6891379046.1,12582513798.941853,736213156.03,1344202971.9657342,705292200.63,1287746441.945499,492353466.85,898955673.3355006,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.28062000516491953,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,42,SC,Santa Catarina,South,3218616357.28,5876659005.122427,1988015914.91,3629786943.155777,,,0,0,0,0.61766165775347,2727699223.95,4980325838.285898,296087192.34,540606046.8283724,327601936.94,598146737.3268926,297975030.94,544052926.6293198,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.33789068535398553,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,28,SE,Sergipe,Northeast,1126393425.23,2056607352.6335227,338206725.73,617509320.6926347,,,0,0,0,0.3002563031304458,672512803.34,1227896705.6353426,139387837.07,254499044.61872256,119664519.04,218487541.0265877,103064654.61,188178945.0469132,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.5384537051511357,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,35,SP,Sao Paulo,Southeast,35421906692.61,64674519680.763565,28489076014.83,52016322085.57234,,,0,0,0,0.8042784444681974,28640250635.51,52292341839.82346,2682515330.9,4897827552.530847,3183352389,5812272854.756825,1636670577.08,2988288698.484166,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.26195784361181107,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,17,TO,Tocantins,North,1294286033.87,2363151376.815253,348397669.32,636116291.4437183,,,0,0,0,0.2691813557458147,1074022762.18,1960987218.248479,247280681.41,451493462.3736731,144398412.06,263647522.525766,152652521.14,278718155.08019596,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.506815715437112,rr_2018_01,FALSE,FALSE,TRUE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,12,AC,Acre,North,835031264.38,1494155181.9928613,181348808.6,324494750.887092,,,0,0,0,0.21717607032911415,672801209.33,1203870389.353485,124294390.42,222404975.071895,133623478.17,239097888.73816141,63620826.94,113839316.33464336,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.47791040068165147,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,27,AL,Alagoas,Northeast,1288043232.72,2304747801.542938,541724372.32,969329308.5436058,,,0,0,0,0.4205793396981126,1312182281.77,2347940777.381055,207229265.52,370803698.1910862,172000334.66,307767148.72773176,163315246.39,292226569.3527534,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.41346759067510225,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,13,AM,Amazonas,North,2335063199.63,4178222934.680769,1143182160.65,2045542031.968383,,,0,0,0,0.4895722569012872,2297539152.46,4111079640.8664594,456071650.63,816067432.7024319,352751682.76,631192839.400924,257769815.04,461237945.61072505,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.4642328498680804,rr_2018_01,FALSE,FALSE,TRUE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,16,AP,Amapa,North,585593864.52,1047826763.5469148,137224521.64,245541381.32436657,,,0,0,0,0.2343339470478918,699077216.26,1250887110.2731383,109054534.15,195135684.45969993,209768048,375346444.26570314,70507803.83,126162462.36211447,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.556920433000066,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,29,BA,Bahia,Northeast,5866090306.34,10496432412.939402,3220075781.3,5761811707.267548,,,0,0,0,0.5489304823384292,6155594878.93,11014454642.522806,930470074.17,1664927700.692312,852826876.75,1525997590.2637827,635343868.88,1136846456.568653,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.39291747871172794,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,23,CE,Ceara,Northeast,3236065102.8,5790422046.299002,1698651598.06,3039465940.866625,,,0,0,0,0.5249126776189529,3184793803.32,5698680238.448932,444120651.14,794683026.4176733,395244420.53,707226812.0728937,273115467.32,488696541.29845285,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.3493100676817101,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,53,DF,Distrito Federal,Center-West,4761541259.18,8520018171.965121,2292823126.22,4102641064.557412,,,0,0,0,0.4815296143448422,4367693330.63,7815290159.419306,1016339405.86,1818577165.558924,954212071.57,1707410215.9696417,119509751.64,213843627.57263815,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.4785274676710252,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,32,ES,Espirito Santo,Southeast,1948423950.3,3486393703.140337,1118515340.44,2001404693.8683264,,,0,0,0,0.5740615846298653,2120946323.13,3795094955.8593526,454645718.54,813515954.7969606,255208431.23,456654758.06309986,196666716.58,351903702.57778156,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.4274133939477525,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,52,GO,Goias,Center-West,2881274902.91,5155581605.828155,1793332439.61,3208882196.367448,,,0,0,0,0.6224093500411185,3113658230.06,5571394482.879792,357709735.74,640064483.9352908,578794112.42,1035659692.3606336,363654107.32,650700988.1942573,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.41756604592243457,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,21,MA,Maranhao,Northeast,2080041771.22,3721902788.319611,808077949.17,1445926526.0001898,,,0,0,0,0.38849121222024335,1944447323.29,3479278163.7500176,232002473.44,415131400.1193939,290519534.34,519838341.65366703,148589061.52,265876411.73220915,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.3451423246398271,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,31,MG,Minas Gerais,Southeast,9885869238.11,17689185280.49746,6871379687.57,12295237322.935747,,,0,0,0,0.6950708655017253,10449409535.39,18697550705.075775,866183964.08,1549897966.3356524,951472781.67,1702508693.866628,1948714114.73,3486912906.079447,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.36043863030959566,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,50,MS,Mato Grosso do Sul,Center-West,1769418499.84,3166092017.6598988,1168698118.46,2091198766.286744,,,0,0,0,0.6604984171724665,1968444589.24,3522217441.3583546,124479447.05,222736104.37743297,246944288.57,441867393.67700654,167187503.21,299155354.9448786,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.27362275868682356,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,51,MT,Mato Grosso,Center-West,1928855542.68,3451379160.696252,949051599.07,1698176374.009087,,,0,0,0,0.49202834430584885,1769174178.05,3165654842.808879,193438399.26,346127143.9523068,283500671.19,507279206.21212417,207328104.84,370980555.38010687,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.3867720791879325,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,15,PA,Para,North,3165738579.27,5664583956.102567,1582549221.65,2831719267.4729166,,,0,0,0,0.49989889626796863,3037041062.45,5434300289.048505,356625062.04,638123633.4560819,448219712.11,802017641.839741,328412202.37,587641223.6674292,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.37314509524800255,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,25,PB,Paraiba,Northeast,1406464711.54,2516644138.5855236,565285240.03,1011487721.1478126,,,0,0,0,0.4019192485896389,1439269647.35,2575343335.760911,154938211.12,277237201.65799904,233686104.64,418143989.45509094,153205479.07,274136754.18740654,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.3764616281790027,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
