period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance,post_2020_caged_dummy,caged_method_break_dummy,retail_volume_index,retail_nominal_revenue_index,services_volume_index,services_nominal_revenue_index,pnadc_period_date,pnadc_period,pnadc_population,unemployment_rate_pnadc,labor_income_real_pnadc,informality_rate_pnadc,formalization_rate_pnadc,pnadc_transition_quarter,pilot_id,treated_unit,donor_pool_main,excluded_from_main_donor_pool,transition_period,pnadc_predictor_valid,analysis_period,post_treatment,treated_post,caged_break_control,monthly_main_window,monthly_pre_2020_robustness_window
2016-01-01,2016,1,17,TO,Tocantins,North,-128,0,0,93.43951,65.0733,90.23321,73.34435,2016-01-01,2016Q1,1095000,0.108,2880,0.428,0.5720000000000001,FALSE,rr_2018_01,FALSE,FALSE,TRUE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,12,AC,Acre,North,-531,0,0,70.46669,55.21961,99.63817,76.06206,2016-01-01,2016Q1,574000,0.08800000000000001,2759,0.544,0.456,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,27,AL,Alagoas,Northeast,-10085,0,0,85.14338,59.51276,98.93328,83.20094,2016-01-01,2016Q1,2428000,0.129,2275,0.464,0.536,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,13,AM,Amazonas,North,-2690,0,0,69.24633,51.76792,79.29734,62.14449,2016-01-01,2016Q1,2693000,0.13,2753,0.5579999999999999,0.44200000000000006,FALSE,rr_2018_01,FALSE,FALSE,TRUE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,16,AP,Amapa,North,-1002,0,0,73.12104,54.24011,110.43386,89.96639,2016-01-01,2016Q1,524000,0.14800000000000002,3195,0.489,0.511,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,29,BA,Bahia,Northeast,-5812,0,0,101.64211,70.96007,109.09362,84.0446,2016-01-01,2016Q1,11230000,0.157,2309,0.541,0.459,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,23,CE,Ceara,Northeast,-4171,0,0,98.58091,68.71624,102.12725,78.34236,2016-01-01,2016Q1,6871000,0.109,2256,0.534,0.466,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,53,DF,Distrito Federal,Center-West,-2475,0,0,110.09876,79.46399,117.00308,86.23659,2016-01-01,2016Q1,2246000,0.113,6423,0.253,0.747,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,32,ES,Espirito Santo,Southeast,-4165,0,0,76.40441,54.98102,92.91636,74.1477,2016-01-01,2016Q1,3094000,0.112,3346,0.35600000000000004,0.6439999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,52,GO,Goias,Center-West,2327,0,0,104.1599,73.39079,93.33277,73.39882,2016-01-01,2016Q1,5254000,0.102,3128,0.389,0.611,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,21,MA,Maranhao,Northeast,-5833,0,0,76.40984,52.86107,94.42227,72.34181,2016-01-01,2016Q1,4979000,0.112,1693,0.657,0.34299999999999997,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,31,MG,Minas Gerais,Southeast,-3309,0,0,80.7701,55.13695,81.11869,63.13768,2016-01-01,2016Q1,16685000,0.113,3224,0.373,0.627,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,50,MS,Mato Grosso do Sul,Center-West,1124,0,0,77.31783,53.82331,94.0926,71.81788,2016-01-01,2016Q1,2021000,0.078,3516,0.359,0.641,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,51,MT,Mato Grosso,Center-West,3683,0,0,75.52421,54.03645,80.71396,63.68998,2016-01-01,2016Q1,2556000,0.093,3340,0.3670000000000001,0.633,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,15,PA,Para,North,-2364,0,0,69.23002,51.70831,95.21791,75.62958,2016-01-01,2016Q1,5994000,0.101,2234,0.607,0.393,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,25,PB,Paraiba,Northeast,-6672,0,0,81.27953,57.19853,102.14989,79.1815,2016-01-01,2016Q1,3058000,0.103,2353,0.525,0.475,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,26,PE,Pernambuco,Northeast,-15874,0,0,90.79338,63.84565,98.05938,76.5667,2016-01-01,2016Q1,7264000,0.134,2619,0.475,0.525,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,22,PI,Piaui,Northeast,-3475,0,0,83.69576,58.18349,112.93779,87.07022,2016-01-01,2016Q1,2544000,0.096,2226,0.595,0.405,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,41,PR,Parana,South,-2050,0,0,88.19504,60.13244,90.89521,65.3602,2016-01-01,2016Q1,8952000,0.081,3664,0.32,0.6799999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,33,RJ,Rio de Janeiro,Southeast,-22287,0,0,98.05703,70.18631,106.6054,87.40701,2016-01-01,2016Q1,14009000,0.102,3918,0.317,0.683,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,24,RN,Rio Grande do Norte,Northeast,-4438,0,0,88.46278,58.99254,112.37016,85.51687,2016-01-01,2016Q1,2626000,0.145,2543,0.45,0.55,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,11,RO,Rondonia,North,-1252,0,0,82.23093,69.01778,131.1787,109.50037,2016-01-01,2016Q1,1254000,0.076,2671,0.467,0.5329999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,14,RR,Roraima,North,-83,0,0,70.67716,51.81191,85.24311,68.99436,2016-01-01,2016Q1,348000,0.084,3286,0.44,0.56,FALSE,rr_2018_01,TRUE,FALSE,TRUE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,43,RS,Rio Grande do Sul,South,6070,0,0,75.27316,51.76904,92.73411,71.64385,2016-01-01,2016Q1,9101000,0.076,3875,0.322,0.6779999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,42,SC,Santa Catarina,South,4793,0,0,66.07974,44.66721,89.4824,69.22088,2016-01-01,2016Q1,5681000,0.061,3662,0.271,0.729,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,28,SE,Sergipe,Northeast,-1989,0,0,108.59291,73.66939,112.49389,86.63029,2016-01-01,2016Q1,1723000,0.116,2531,0.516,0.484,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,35,SP,Sao Paulo,Southeast,-22110,0,0,85.45668,57.88286,77.60408,64.38757,2016-01-01,2016Q1,36040000,0.122,4706,0.267,0.733,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-02-01,2016,2,17,TO,Tocantins,North,88,0,0,90.00739,63.91044,94.38697,77.45025,2016-01-01,2016Q1,1095000,0.108,2880,0.428,0.5720000000000001,FALSE,rr_2018_01,FALSE,FALSE,TRUE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,12,AC,Acre,North,-638,0,0,74.43484,58.99819,109.13626,82.38331,2016-01-01,2016Q1,574000,0.08800000000000001,2759,0.544,0.456,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,27,AL,Alagoas,Northeast,-9872,0,0,91.2751,63.89325,101.01723,83.6548,2016-01-01,2016Q1,2428000,0.129,2275,0.464,0.536,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,13,AM,Amazonas,North,-3591,0,0,72.96199,55.32843,86.91989,67.53826,2016-01-01,2016Q1,2693000,0.13,2753,0.5579999999999999,0.44200000000000006,FALSE,rr_2018_01,FALSE,FALSE,TRUE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,16,AP,Amapa,North,-521,0,0,72.88693,55.0358,118.41538,95.1861,2016-01-01,2016Q1,524000,0.14800000000000002,3195,0.489,0.511,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,29,BA,Bahia,Northeast,-4803,0,0,109.50393,76.25645,115.21434000000001,87.52194,2016-01-01,2016Q1,11230000,0.157,2309,0.541,0.459,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,23,CE,Ceara,Northeast,-4701,0,0,107.22662,75.00821,108.86837,84.55527,2016-01-01,2016Q1,6871000,0.109,2256,0.534,0.466,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,53,DF,Distrito Federal,Center-West,-508,0,0,121.01871,87.961,125.94018,91.11444,2016-01-01,2016Q1,2246000,0.113,6423,0.253,0.747,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,32,ES,Espirito Santo,Southeast,-3668,0,0,78.38466,56.95999,93.33974,72.83099,2016-01-01,2016Q1,3094000,0.112,3346,0.35600000000000004,0.6439999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,52,GO,Goias,Center-West,3331,0,0,113.82422,81.18227,99.83482,78.44723,2016-01-01,2016Q1,5254000,0.102,3128,0.389,0.611,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,21,MA,Maranhao,Northeast,-2307,0,0,82.71478,57.59654,97.77763,75.23656,2016-01-01,2016Q1,4979000,0.112,1693,0.657,0.34299999999999997,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,31,MG,Minas Gerais,Southeast,-7979,0,0,86.78922,60.09354,88.20117,68.26467,2016-01-01,2016Q1,16685000,0.113,3224,0.373,0.627,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,50,MS,Mato Grosso do Sul,Center-West,187,0,0,83.17219,58.5036,100.49768,76.55487,2016-01-01,2016Q1,2021000,0.078,3516,0.359,0.641,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,51,MT,Mato Grosso,Center-West,-3952,0,0,79.5731,57.5634,89.57861,70.95845,2016-01-01,2016Q1,2556000,0.093,3340,0.3670000000000001,0.633,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
