pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,formal_hiring,labor_market,2018-07-01,post,17.501355869216262
AC,formal_hiring,labor_market,2018-08-01,post,-9.64873876561326
AC,formal_hiring,labor_market,2018-09-01,post,-0.15011860735056537
AC,formal_hiring,labor_market,2018-10-01,post,-6.458355901785019
AC,formal_hiring,labor_market,2018-11-01,post,-9.343412782410697
AC,formal_hiring,labor_market,2018-12-01,post,-23.236339893376172
AC,formal_hiring,labor_market,2019-01-01,post,-64.62876830484097
AC,formal_hiring,labor_market,2019-02-01,post,10.769289361897933
AC,formal_hiring,labor_market,2019-03-01,post,-33.10301702908142
AC,formal_hiring,labor_market,2019-04-01,post,-9.457960441207675
AC,formal_hiring,labor_market,2019-05-01,post,33.90868795882223
AC,formal_hiring,labor_market,2019-06-01,post,5.001894710051772
AC,formal_hiring,labor_market,2019-07-01,post,3.3570179898267383
AC,formal_hiring,labor_market,2019-08-01,post,-25.771909378611674
AC,formal_hiring,labor_market,2019-09-01,post,8.267324288997843
AC,formal_hiring,labor_market,2019-10-01,post,-64.65764837149158
AC,formal_hiring,labor_market,2019-11-01,post,-74.71719270691825
AC,formal_hiring,labor_market,2019-12-01,post,29.138842978753765
AC,formal_hiring,labor_market,2020-01-01,post,36.03481811404863
AC,formal_hiring,labor_market,2020-02-01,post,91.72338564449585
AC,construction,labor_market,2015-03-01,pre,1.5927522945080916
AC,construction,labor_market,2015-04-01,pre,2.2363361075744024
AC,construction,labor_market,2015-05-01,pre,8.09870175146989
AC,construction,labor_market,2015-06-01,pre,3.120159491502374
AC,construction,labor_market,2015-07-01,pre,-7.9665078516494745
AC,construction,labor_market,2015-08-01,pre,0.8777767144019819
AC,construction,labor_market,2015-09-01,pre,8.233969985287205
AC,construction,labor_market,2015-10-01,pre,11.167654941822672
AC,construction,labor_market,2015-11-01,pre,11.484814109558748
AC,construction,labor_market,2015-12-01,pre,-0.030060420445625624
AC,construction,labor_market,2016-01-01,pre,1.7670411309297123
