year,bimester,uf,annex_name,no_anexo,rows,status,error_message,downloaded_at
2015,2,43,annex02,RREO-Anexo 02,1190,downloaded,,2026-05-28
2015,2,43,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,2,50,annex01,RREO-Anexo 01,485,downloaded,,2026-05-28
2015,2,50,annex02,RREO-Anexo 02,1000,downloaded,,2026-05-28
2015,2,50,annex06,RREO-Anexo 06,166,downloaded,,2026-05-28
2015,2,51,annex01,RREO-Anexo 01,519,downloaded,,2026-05-28
2015,2,51,annex02,RREO-Anexo 02,1206,downloaded,,2026-05-28
2015,2,51,annex06,RREO-Anexo 06,146,downloaded,,2026-05-28
2015,2,52,annex01,RREO-Anexo 01,481,downloaded,,2026-05-28
2015,2,52,annex02,RREO-Anexo 02,1148,downloaded,,2026-05-28
2015,2,52,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,2,53,annex01,RREO-Anexo 01,454,downloaded,,2026-05-28
2015,2,53,annex02,RREO-Anexo 02,1152,downloaded,,2026-05-28
2015,2,53,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,3,11,annex01,RREO-Anexo 01,449,downloaded,,2026-05-28
2015,3,11,annex02,RREO-Anexo 02,922,downloaded,,2026-05-28
2015,3,11,annex06,RREO-Anexo 06,160,downloaded,,2026-05-28
2015,3,12,annex01,RREO-Anexo 01,479,downloaded,,2026-05-28
2015,3,12,annex02,RREO-Anexo 02,1162,downloaded,,2026-05-28
2015,3,12,annex06,RREO-Anexo 06,157,downloaded,,2026-05-28
2015,3,13,annex01,RREO-Anexo 01,530,downloaded,,2026-05-28
2015,3,13,annex02,RREO-Anexo 02,1307,downloaded,,2026-05-28
2015,3,13,annex06,RREO-Anexo 06,170,downloaded,,2026-05-28
2015,3,14,annex01,RREO-Anexo 01,460,downloaded,,2026-05-28
2015,3,14,annex02,RREO-Anexo 02,1049,downloaded,,2026-05-28
2015,3,14,annex06,RREO-Anexo 06,146,downloaded,,2026-05-28
2015,3,15,annex01,RREO-Anexo 01,471,downloaded,,2026-05-28
2015,3,15,annex02,RREO-Anexo 02,1400,downloaded,,2026-05-28
2015,3,15,annex06,RREO-Anexo 06,168,downloaded,,2026-05-28
2015,3,16,annex01,RREO-Anexo 01,439,downloaded,,2026-05-28
2015,3,16,annex02,RREO-Anexo 02,1083,downloaded,,2026-05-28
2015,3,16,annex06,RREO-Anexo 06,147,downloaded,,2026-05-28
2015,3,17,annex01,RREO-Anexo 01,471,downloaded,,2026-05-28
2015,3,17,annex02,RREO-Anexo 02,1183,downloaded,,2026-05-28
2015,3,17,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,3,21,annex01,RREO-Anexo 01,384,downloaded,,2026-05-28
2015,3,21,annex02,RREO-Anexo 02,1262,downloaded,,2026-05-28
2015,3,21,annex06,RREO-Anexo 06,145,downloaded,,2026-05-28
2015,3,22,annex01,RREO-Anexo 01,455,downloaded,,2026-05-28
