dropped_donor,period_date,bim_event_time,loo_gap
AP,2020-02-01,7,0.9783326039482851
AP,2020-04-01,8,-0.1592654822576085
AP,2020-06-01,9,-0.4948139625140495
AP,2020-08-01,10,0.006881538149084321
AP,2020-10-01,11,-0.09634745046178761
BA,2015-08-01,-20,0.09427928420498688
BA,2015-10-01,-19,0.06326255840884176
BA,2015-12-01,-18,0.005684389774787135
BA,2016-02-01,-17,0.011229313427603138
BA,2016-04-01,-16,0.06289705851526683
BA,2016-06-01,-15,0.04111493430308144
BA,2016-08-01,-14,0.09275478451199515
BA,2016-10-01,-13,0.19188346420814106
BA,2016-12-01,-12,0.09709938047914601
BA,2017-02-01,-11,0.03187503116387447
BA,2017-04-01,-10,0.1304215439215577
BA,2017-06-01,-9,0.11050325686439066
BA,2017-08-01,-8,0.0492983166293568
BA,2017-10-01,-7,0.025011248171343148
BA,2017-12-01,-6,0.022107584849162976
BA,2019-02-01,1,-0.6662213792437139
BA,2019-04-01,2,-0.308060316690808
BA,2019-06-01,3,-0.07612761748995123
BA,2019-08-01,4,-0.26299649704889294
BA,2019-10-01,5,-0.2679909353113503
BA,2019-12-01,6,0.8561901996072807
BA,2020-02-01,7,0.971607422569698
BA,2020-04-01,8,-0.16498363218554335
BA,2020-06-01,9,-0.5003427650399104
BA,2020-08-01,10,0.0012441397937514864
BA,2020-10-01,11,-0.10168024182742741
CE,2015-08-01,-20,0.09601765377456672
CE,2015-10-01,-19,0.06499876511679581
CE,2015-12-01,-18,0.007417139218959257
CE,2016-02-01,-17,0.013044496137086803
CE,2016-04-01,-16,0.06478891407761012
CE,2016-06-01,-15,0.04293259129789817
CE,2016-08-01,-14,0.09468104500333929
CE,2016-10-01,-13,0.19394943723980962
CE,2016-12-01,-12,0.09907816971931549
CE,2017-02-01,-11,0.033752918094450024
CE,2017-04-01,-10,0.1324158714967103
CE,2017-06-01,-9,0.11243081602681304
CE,2017-08-01,-8,0.05103905620531002
CE,2017-10-01,-7,0.026741843274289856
CE,2017-12-01,-6,0.02397027736889612
CE,2019-02-01,1,-0.6610284679774505
CE,2019-04-01,2,-0.3062701080370589
CE,2019-06-01,3,-0.07393323716822842
CE,2019-08-01,4,-0.26134129295415764
