pseudo_treated_state,outcome,short_label,channel_slug,period_date,analysis_period,augmented_gap
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2018-04-01,pre,0.5366887065346404
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2018-06-01,pre,-0.9845553852318787
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2018-08-01,pre,0.8104513051405675
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2018-10-01,pre,-2.101081061169989
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2019-08-01,post,-11.158934633285838
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2019-10-01,post,-12.666520236222416
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2019-12-01,post,-17.18049073419838
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2015-08-01,pre,3.6801962388303764
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2015-10-01,pre,-0.3474619810673403
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2015-12-01,pre,-7.131472686101347
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2016-02-01,pre,7.208127931059494
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2016-04-01,pre,-12.494032941660407
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2016-06-01,pre,-2.5254561009870713
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2016-08-01,pre,-5.649288319634934
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2016-10-01,pre,2.797344543872555
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2016-12-01,pre,0.17179049054959705
PE,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4",public_sector,2017-02-01,pre,5.107750891543333
