transfer_sheet,transfer_scope,transfer_variable,competencia,period_date,year,month,state_abbrev,state_name,macroregion,state_name_raw,transfer_value_nominal
FPE,states_direct,fpe,199102,1991-02-01,1991,2,RR,Roraima,North,Roraima,1618230880.06
FPE,states_direct,fpe,199102,1991-02-01,1991,2,RS,Rio Grande do Sul,South,Rio Grande do Sul,1536102743.74
FPE,states_direct,fpe,199102,1991-02-01,1991,2,SC,Santa Catarina,South,Santa Catarina,834849792.52
FPE,states_direct,fpe,199102,1991-02-01,1991,2,SE,Sergipe,Northeast,Sergipe,2710619895.95
FPE,states_direct,fpe,199102,1991-02-01,1991,2,SP,Sao Paulo,Southeast,São Paulo,652328326.71
FPE,states_direct,fpe,199102,1991-02-01,1991,2,TO,Tocantins,North,Tocantins,2831104937.91
FPE,states_direct,fpe,199103,1991-03-01,1991,3,AC,Acre,North,Acre,2673146388.93
FPE,states_direct,fpe,199103,1991-03-01,1991,3,AL,Alagoas,Northeast,Alagoas,3250674157.42
FPE,states_direct,fpe,199103,1991-03-01,1991,3,AM,Amazonas,North,Amazonas,2180399790.6
FPE,states_direct,fpe,199103,1991-03-01,1991,3,AP,Amapa,North,Amapá,2666113849.47
FPE,states_direct,fpe,199103,1991-03-01,1991,3,BA,Bahia,Northeast,Bahia,7342127477.25
FPE,states_direct,fpe,199103,1991-03-01,1991,3,CE,Ceara,Northeast,Ceará,5733004308.95
FPE,states_direct,fpe,199103,1991-03-01,1991,3,DF,Distrito Federal,Center-West,Distrito Federal,539317637.43
FPE,states_direct,fpe,199103,1991-03-01,1991,3,ES,Espirito Santo,Southeast,Espírito Santo,1172089910.38
FPE,states_direct,fpe,199103,1991-03-01,1991,3,GO,Goias,Center-West,Goiás,2221579216.12
FPE,states_direct,fpe,199103,1991-03-01,1991,3,MA,Maranhao,Northeast,Maranhão,5640252927.39
FPE,states_direct,fpe,199103,1991-03-01,1991,3,MG,Minas Gerais,Southeast,Minas Gerais,3480716337.18
FPE,states_direct,fpe,199103,1991-03-01,1991,3,MS,Mato Grosso do Sul,Center-West,Mato Grosso do Sul,1040815840.37
FPE,states_direct,fpe,199103,1991-03-01,1991,3,MT,Mato Grosso,Center-West,Mato Grosso,1803377536.11
FPE,states_direct,fpe,199103,1991-03-01,1991,3,PA,Para,North,Pará,4775875688.15
FPE,states_direct,fpe,199103,1991-03-01,1991,3,PB,Paraiba,Northeast,Paraíba,3742014247.87
FPE,states_direct,fpe,199103,1991-03-01,1991,3,PE,Pernambuco,Northeast,Pernambuco,5391769866.37
FPE,states_direct,fpe,199103,1991-03-01,1991,3,PI,Piaui,Northeast,Piauí,3376712892.47
FPE,states_direct,fpe,199103,1991-03-01,1991,3,PR,Parana,South,Paraná,2252913086.4
FPE,states_direct,fpe,199103,1991-03-01,1991,3,RJ,Rio de Janeiro,Southeast,Rio de Janeiro,1193734504.06
FPE,states_direct,fpe,199103,1991-03-01,1991,3,RN,Rio Grande do Norte,Northeast,Rio Grande do Norte,3264582957.7
FPE,states_direct,fpe,199103,1991-03-01,1991,3,RO,Rondonia,North,Rondônia,2200090901.1
FPE,states_direct,fpe,199103,1991-03-01,1991,3,RR,Roraima,North,Roraima,1938402293.77
FPE,states_direct,fpe,199103,1991-03-01,1991,3,RS,Rio Grande do Sul,South,Rio Grande do Sul,1840024880.63
FPE,states_direct,fpe,199103,1991-03-01,1991,3,SC,Santa Catarina,South,Santa Catarina,1000027111.53
FPE,states_direct,fpe,199103,1991-03-01,1991,3,SE,Sergipe,Northeast,Sergipe,3246923469.73
FPE,states_direct,fpe,199103,1991-03-01,1991,3,SP,Sao Paulo,Southeast,São Paulo,781393273.59
FPE,states_direct,fpe,199103,1991-03-01,1991,3,TO,Tocantins,North,Tocantins,3391246807.35
FPE,states_direct,fpe,199104,1991-04-01,1991,4,AC,Acre,North,Acre,2949613712.78
FPE,states_direct,fpe,199104,1991-04-01,1991,4,AL,Alagoas,Northeast,Alagoas,3586871676.86
FPE,states_direct,fpe,199104,1991-04-01,1991,4,AM,Amazonas,North,Amazonas,2405905321.3
FPE,states_direct,fpe,199104,1991-04-01,1991,4,AP,Amapa,North,Amapá,2941853840.4
FPE,states_direct,fpe,199104,1991-04-01,1991,4,BA,Bahia,Northeast,Bahia,8101479207.25
FPE,states_direct,fpe,199104,1991-04-01,1991,4,CE,Ceara,Northeast,Ceará,6325934185.71
FPE,states_direct,fpe,199104,1991-04-01,1991,4,DF,Distrito Federal,Center-West,Distrito Federal,595095990.81
FPE,states_direct,fpe,199104,1991-04-01,1991,4,ES,Espirito Santo,Southeast,Espírito Santo,1293312063.48
FPE,states_direct,fpe,199104,1991-04-01,1991,4,GO,Goias,Center-West,Goiás,2451343685.12
FPE,states_direct,fpe,199104,1991-04-01,1991,4,MA,Maranhao,Northeast,Maranhão,6223590091.09
FPE,states_direct,fpe,199104,1991-04-01,1991,4,MG,Minas Gerais,Southeast,Minas Gerais,3840705724.52
FPE,states_direct,fpe,199104,1991-04-01,1991,4,MS,Mato Grosso do Sul,Center-West,Mato Grosso do Sul,1148461112.4
FPE,states_direct,fpe,199104,1991-04-01,1991,4,MT,Mato Grosso,Center-West,Mato Grosso,1989889940.87
FPE,states_direct,fpe,199104,1991-04-01,1991,4,PA,Para,North,Pará,5269815554.67
FPE,states_direct,fpe,199104,1991-04-01,1991,4,PB,Paraiba,Northeast,Paraíba,4129028093.87
FPE,states_direct,fpe,199104,1991-04-01,1991,4,PE,Pernambuco,Northeast,Pernambuco,5949407933.63
FPE,states_direct,fpe,199104,1991-04-01,1991,4,PI,Piaui,Northeast,Piauí,3725945834.08
FPE,states_direct,fpe,199104,1991-04-01,1991,4,PR,Parana,South,Paraná,2485918227.62
FPE,states_direct,fpe,199104,1991-04-01,1991,4,RJ,Rio de Janeiro,Southeast,Rio de Janeiro,1317195226.26
FPE,states_direct,fpe,199104,1991-04-01,1991,4,RN,Rio Grande do Norte,Northeast,Rio Grande do Norte,3602218980.01
FPE,states_direct,fpe,199104,1991-04-01,1991,4,RO,Rondonia,North,Rondônia,2427632963.96
FPE,states_direct,fpe,199104,1991-04-01,1991,4,RR,Roraima,North,Roraima,2138879490.59
FPE,states_direct,fpe,199104,1991-04-01,1991,4,RS,Rio Grande do Sul,South,Rio Grande do Sul,2030327498.06
FPE,states_direct,fpe,199104,1991-04-01,1991,4,SC,Santa Catarina,South,Santa Catarina,1103453852.56
FPE,states_direct,fpe,199104,1991-04-01,1991,4,SE,Sergipe,Northeast,Sergipe,3582733078.26
FPE,states_direct,fpe,199104,1991-04-01,1991,4,SP,Sao Paulo,Southeast,São Paulo,862208042.32
FPE,states_direct,fpe,199104,1991-04-01,1991,4,TO,Tocantins,North,Tocantins,3741982903.68
FPE,states_direct,fpe,199105,1991-05-01,1991,5,AC,Acre,North,Acre,4926595519.35
FPE,states_direct,fpe,199105,1991-05-01,1991,5,AL,Alagoas,Northeast,Alagoas,5990976328.59
FPE,states_direct,fpe,199105,1991-05-01,1991,5,AM,Amazonas,North,Amazonas,4018465985.75
FPE,states_direct,fpe,199105,1991-05-01,1991,5,AP,Amapa,North,Amapá,4913634584.05
FPE,states_direct,fpe,199105,1991-05-01,1991,5,BA,Bahia,Northeast,Bahia,13531504477.92
FPE,states_direct,fpe,199105,1991-05-01,1991,5,CE,Ceara,Northeast,Ceará,10565898470.03
FPE,states_direct,fpe,199105,1991-05-01,1991,5,DF,Distrito Federal,Center-West,Distrito Federal,993959727.41
FPE,states_direct,fpe,199105,1991-05-01,1991,5,ES,Espirito Santo,Southeast,Espírito Santo,2160155883.96
FPE,states_direct,fpe,199105,1991-05-01,1991,5,GO,Goias,Center-West,Goiás,4094359462.46
FPE,states_direct,fpe,199105,1991-05-01,1991,5,MA,Maranhao,Northeast,Maranhão,10394958134.4
FPE,states_direct,fpe,199105,1991-05-01,1991,5,MG,Minas Gerais,Southeast,Minas Gerais,6414942923.4
FPE,states_direct,fpe,199105,1991-05-01,1991,5,MS,Mato Grosso do Sul,Center-West,Mato Grosso do Sul,1918218424.95
FPE,states_direct,fpe,199105,1991-05-01,1991,5,MT,Mato Grosso,Center-West,Mato Grosso,3323615843.06
FPE,states_direct,fpe,199105,1991-05-01,1991,5,PA,Para,North,Pará,8801915175.18
FPE,states_direct,fpe,199105,1991-05-01,1991,5,PB,Paraiba,Northeast,Paraíba,6896513675.13
FPE,states_direct,fpe,199105,1991-05-01,1991,5,PE,Pernambuco,Northeast,Pernambuco,9937005086.99
FPE,states_direct,fpe,199105,1991-05-01,1991,5,PI,Piaui,Northeast,Piauí,6223265091.3
FPE,states_direct,fpe,199105,1991-05-01,1991,5,PR,Parana,South,Paraná,4152107629.75
FPE,states_direct,fpe,199105,1991-05-01,1991,5,RJ,Rio de Janeiro,Southeast,Rio de Janeiro,2200046762.62
FPE,states_direct,fpe,199105,1991-05-01,1991,5,RN,Rio Grande do Norte,Northeast,Rio Grande do Norte,6016610178.39
FPE,states_direct,fpe,199105,1991-05-01,1991,5,RO,Rondonia,North,Rondônia,4054756604.6
FPE,states_direct,fpe,199105,1991-05-01,1991,5,RR,Roraima,North,Roraima,3572465800.9
FPE,states_direct,fpe,199105,1991-05-01,1991,5,RS,Rio Grande do Sul,South,Rio Grande do Sul,3391156717.03
FPE,states_direct,fpe,199105,1991-05-01,1991,5,SC,Santa Catarina,South,Santa Catarina,1843045000.2
FPE,states_direct,fpe,199105,1991-05-01,1991,5,SE,Sergipe,Northeast,Sergipe,5984063829.74
FPE,states_direct,fpe,199105,1991-05-01,1991,5,SP,Sao Paulo,Southeast,São Paulo,1440103922.64
FPE,states_direct,fpe,199105,1991-05-01,1991,5,TO,Tocantins,North,Tocantins,6250051024.26
FPE,states_direct,fpe,199106,1991-06-01,1991,6,AC,Acre,North,Acre,4049942903.88
FPE,states_direct,fpe,199106,1991-06-01,1991,6,AL,Alagoas,Northeast,Alagoas,4924924722.14
FPE,states_direct,fpe,199106,1991-06-01,1991,6,AM,Amazonas,North,Amazonas,3303408558.62
FPE,states_direct,fpe,199106,1991-06-01,1991,6,AP,Amapa,North,Amapá,4039288274.78
FPE,states_direct,fpe,199106,1991-06-01,1991,6,BA,Bahia,Northeast,Bahia,11123669545
FPE,states_direct,fpe,199106,1991-06-01,1991,6,CE,Ceara,Northeast,Ceará,8685772023.24
FPE,states_direct,fpe,199106,1991-06-01,1991,6,DF,Distrito Federal,Center-West,Distrito Federal,817091666.83
FPE,states_direct,fpe,199106,1991-06-01,1991,6,ES,Espirito Santo,Southeast,Espírito Santo,1775771515.88
FPE,states_direct,fpe,199106,1991-06-01,1991,6,GO,Goias,Center-West,Goiás,3365797331.2
