competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200706,2007-06-01,2007,6,35,SP,Sao Paulo,Southeast,65483,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,41,PR,Parana,South,8466,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,42,SC,Santa Catarina,South,3059,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,43,RS,Rio Grande do Sul,South,-1132,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,50,MS,Mato Grosso do Sul,Center-West,298,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,51,MT,Mato Grosso,Center-West,6153,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,52,GO,Goias,Center-West,7236,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,53,DF,Distrito Federal,Center-West,1451,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,11,RO,Rondonia,North,1621,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,12,AC,Acre,North,8,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,13,AM,Amazonas,North,2274,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,14,RR,Roraima,North,79,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,15,PA,Para,North,6930,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,16,AP,Amapa,North,387,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,17,TO,Tocantins,North,749,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,21,MA,Maranhao,Northeast,1549,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,22,PI,Piaui,Northeast,655,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,23,CE,Ceara,Northeast,6364,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,24,RN,Rio Grande do Norte,Northeast,3936,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,25,PB,Paraiba,Northeast,2944,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,26,PE,Pernambuco,Northeast,1953,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,27,AL,Alagoas,Northeast,3109,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,28,SE,Sergipe,Northeast,669,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
