state_abbrev,period_date,formal_employment_stock,construction_employment_stock,year,month,stock_anchor_date,stock_source
AC,2008-09-01,82150,10992,2008,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-10-01,82131,10942,2008,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-11-01,81791,10569,2008,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-12-01,80311,10064,2008,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-01-01,80244,9895,2009,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-02-01,80205,9947,2009,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-03-01,80065,9981,2009,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-04-01,80658,10446,2009,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-05-01,81101,10771,2009,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-06-01,81613,11186,2009,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-07-01,81943,11564,2009,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-08-01,82784,11945,2009,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-09-01,83068,12071,2009,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-10-01,83207,12053,2009,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-11-01,83301,11756,2009,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2009-12-01,82280,11115,2009,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-01-01,82078,10801,2010,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-02-01,82431,10905,2010,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-03-01,82436,10951,2010,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-04-01,82827,11117,2010,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-05-01,83460,11117,2010,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-06-01,84047,11117,2010,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-07-01,84426,11252,2010,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-08-01,85292,11569,2010,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-09-01,85497,11579,2010,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-10-01,85050,11579,2010,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-11-01,84627,11000,2010,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2010-12-01,83632,10235,2010,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-01-01,83297,9907,2011,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-02-01,83726,9840,2011,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-03-01,82885,9413,2011,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-04-01,83239,9354,2011,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-05-01,83467,9288,2011,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-06-01,84406,9707,2011,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-07-01,84905,9864,2011,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-08-01,85058,9949,2011,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-09-01,85144,9908,2011,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-10-01,85104,9687,2011,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-11-01,84840,9308,2011,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2011-12-01,84045,8738,2011,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-01-01,83805,8683,2012,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-02-01,83866,8720,2012,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-03-01,83286,8735,2012,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-04-01,84256,9249,2012,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-05-01,85068,9249,2012,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-06-01,85471,9249,2012,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-07-01,85945,9584,2012,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-08-01,86403,9559,2012,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-09-01,86302,9483,2012,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-10-01,86009,9483,2012,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-11-01,85456,8982,2012,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2012-12-01,83536,8305,2012,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-01-01,83033,8042,2013,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-02-01,82926,8095,2013,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-03-01,82598,7996,2013,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-04-01,83018,8226,2013,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-05-01,83589,8508,2013,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-06-01,83788,8646,2013,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-07-01,83893,8786,2013,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-08-01,83846,8811,2013,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-09-01,84114,8880,2013,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-10-01,84105,8964,2013,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-11-01,84121,9112,2013,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2013-12-01,83431,8729,2013,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-01-01,83359,8745,2014,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-02-01,83667,8827,2014,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-03-01,82795,8591,2014,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-04-01,82682,8499,2014,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-05-01,83004,8598,2014,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-06-01,83373,8794,2014,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-07-01,83785,9177,2014,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-08-01,84052,9199,2014,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-09-01,83962,9088,2014,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-10-01,83577,8802,2014,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-11-01,83052,8244,2014,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2014-12-01,82367,7643,2014,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-01-01,81901,7297,2015,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-02-01,81324,7123,2015,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-03-01,80824,6938,2015,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-04-01,80919,6908,2015,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-05-01,81112,6821,2015,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-06-01,81207,6894,2015,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-07-01,81124,6878,2015,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-08-01,82303,6821,2015,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-09-01,82181,6758,2015,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-10-01,81448,6672,2015,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-11-01,80694,6393,2015,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2015-12-01,79721,5844,2015,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-01-01,79435,5616,2016,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-02-01,78904,5605,2016,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-03-01,78266,5520,2016,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-04-01,77803,5532,2016,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-05-01,77950,5547,2016,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-06-01,78141,5805,2016,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-07-01,78906,5907,2016,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-08-01,78877,5764,2016,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-09-01,78812,5786,2016,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-10-01,78476,5701,2016,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-11-01,77469,5535,2016,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2016-12-01,76827,5211,2016,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-01-01,76852,5157,2017,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-02-01,76608,5177,2017,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-03-01,76063,5136,2017,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-04-01,75734,5178,2017,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-05-01,75934,5301,2017,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-06-01,76185,5537,2017,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-07-01,76424,5659,2017,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-08-01,76565,5756,2017,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-09-01,76782,5777,2017,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-10-01,76566,5810,2017,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-11-01,76223,5598,2017,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2017-12-01,75831,5468,2017,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-01-01,75462,5377,2018,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-02-01,75034,5222,2018,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-03-01,74877,5170,2018,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-04-01,75107,5219,2018,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-05-01,74916,5214,2018,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-06-01,75105,5412,2018,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-07-01,75476,5706,2018,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-08-01,75304,5814,2018,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-09-01,75589,5814,2018,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-10-01,75796,5709,2018,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-11-01,75492,5459,2018,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2018-12-01,74781,5238,2018,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-01-01,74004,5238,2019,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-02-01,74045,5205,2019,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-03-01,73728,5205,2019,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-04-01,74105,5263,2019,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-05-01,74476,5567,2019,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-06-01,74723,5698,2019,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-07-01,74924,5827,2019,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-08-01,75184,5935,2019,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-09-01,75676,6018,2019,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-10-01,75309,5779,2019,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-11-01,74696,5525,2019,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2019-12-01,74137,5505,2019,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-01-01,74275,5346,2020,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-02-01,75228,5432,2020,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-03-01,75338,5405,2020,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-04-01,74774,5339,2020,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-05-01,74662,5435,2020,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-06-01,74619,5575,2020,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-07-01,74811,5777,2020,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-08-01,75452,5892,2020,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-09-01,75977,5981,2020,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-10-01,76638,5949,2020,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-11-01,77154,5755,2020,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2020-12-01,76713,5508,2020,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-01-01,77082,5533,2021,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-02-01,77943,5609,2021,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-03-01,77978,5710,2021,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-04-01,78334,5507,2021,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-05-01,79689,5736,2021,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-06-01,80737,6016,2021,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-07-01,81636,6427,2021,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-08-01,82030,6502,2021,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-09-01,83058,6648,2021,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-10-01,84026,6996,2021,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-11-01,84947,7068,2021,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2021-12-01,84683,6741,2021,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-01-01,84892,6716,2022,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-02-01,85565,6971,2022,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-03-01,86261,7252,2022,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-04-01,87059,7473,2022,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-05-01,87900,7839,2022,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-06-01,89129,8280,2022,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-07-01,90230,8605,2022,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-08-01,91220,8722,2022,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-09-01,91942,8909,2022,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-10-01,92646,8891,2022,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-11-01,93104,8711,2022,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2022-12-01,92257,8198,2022,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-01-01,91335,8213,2023,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-02-01,92130,8271,2023,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-03-01,92911,8242,2023,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-04-01,93293,7929,2023,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-05-01,93815,7870,2023,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-06-01,95073,8386,2023,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-07-01,95880,8716,2023,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-08-01,96441,8785,2023,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-09-01,96755,8817,2023,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-10-01,96822,8828,2023,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-11-01,97080,8848,2023,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2023-12-01,96706,8814,2023,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-01-01,96657,8809,2024,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-02-01,97536,8849,2024,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-03-01,98808,8839,2024,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-04-01,100126,9260,2024,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-05-01,101116,9539,2024,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-06-01,102180,9850,2024,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-07-01,102792,9993,2024,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-08-01,103172,10004,2024,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-09-01,104264,9993,2024,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-10-01,104514,9823,2024,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-11-01,104218,9418,2024,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2024-12-01,103387,9133,2024,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-01-01,102911,9034,2025,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-02-01,103681,9042,2025,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-03-01,104184,8976,2025,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-04-01,104979,8792,2025,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-05-01,106558,8872,2025,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-06-01,107453,9282,2025,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-07-01,107654,9371,2025,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-08-01,108571,9624,2025,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-09-01,109420,9688,2025,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-10-01,109270,9768,2025,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-11-01,109178,9404,2025,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2025-12-01,108668,9131,2025,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2026-01-01,107749,9074,2026,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2026-02-01,108285,9085,2026,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2026-03-01,109351,9281,2026,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AL,2007-01-01,352743,23665,2007,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AL,2007-02-01,341846,23706,2007,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AL,2007-03-01,325301,23786,2007,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AL,2007-04-01,318509,23850,2007,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
