competencia,year,month,uf,formal_hiring_balance,source_series,source_archive,source_regime,source_component,series_version,period_date,post_2020_caged_dummy,caged_method_break_dummy,state_abbrev,state_name,macroregion,is_identified_uf,include_in_panel,uf_mapping_status
200703,2007,3,17,651,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,TO,Tocantins,North,TRUE,TRUE,mapped
200703,2007,3,21,937,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,MA,Maranhao,Northeast,TRUE,TRUE,mapped
200703,2007,3,22,-125,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,PI,Piaui,Northeast,TRUE,TRUE,mapped
200703,2007,3,23,-200,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,CE,Ceara,Northeast,TRUE,TRUE,mapped
200703,2007,3,24,-1162,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,RN,Rio Grande do Norte,Northeast,TRUE,TRUE,mapped
200703,2007,3,25,28,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,PB,Paraiba,Northeast,TRUE,TRUE,mapped
200703,2007,3,26,-1195,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,PE,Pernambuco,Northeast,TRUE,TRUE,mapped
200703,2007,3,27,-16545,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,AL,Alagoas,Northeast,TRUE,TRUE,mapped
200703,2007,3,28,-1535,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,SE,Sergipe,Northeast,TRUE,TRUE,mapped
200703,2007,3,29,7966,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,BA,Bahia,Northeast,TRUE,TRUE,mapped
200703,2007,3,31,24043,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,MG,Minas Gerais,Southeast,TRUE,TRUE,mapped
200703,2007,3,32,4907,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,ES,Espirito Santo,Southeast,TRUE,TRUE,mapped
200703,2007,3,33,10696,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,RJ,Rio de Janeiro,Southeast,TRUE,TRUE,mapped
200703,2007,3,35,67223,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,SP,Sao Paulo,Southeast,TRUE,TRUE,mapped
200703,2007,3,41,20090,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,PR,Parana,South,TRUE,TRUE,mapped
200703,2007,3,42,4751,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,SC,Santa Catarina,South,TRUE,TRUE,mapped
200703,2007,3,43,8926,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,RS,Rio Grande do Sul,South,TRUE,TRUE,mapped
