period,period_date,year,uf,state_abbrev,state_name,macroregion,population,source_system,source_frequency,reference_date_rule,source_table_id,observation_status,imputation_rule
2002,2002-07-01,2002,23,CE,Ceara,Northeast,7654535,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,53,DF,Distrito Federal,Center-West,2145839,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,32,ES,Espirito Santo,Southeast,3201722,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,52,GO,Goias,Center-West,5210335,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,21,MA,Maranhao,Northeast,5803224,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,31,MG,Minas Gerais,Southeast,18343517,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,50,MS,Mato Grosso do Sul,Center-West,2140624,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,51,MT,Mato Grosso,Center-West,2604742,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,15,PA,Para,North,6453683,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,25,PB,Paraiba,Northeast,3494893,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,26,PE,Pernambuco,Northeast,8084667,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,22,PI,Piaui,Northeast,2898223,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,41,PR,Parana,South,9798006,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,33,RJ,Rio de Janeiro,Southeast,14724475,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,24,RN,Rio Grande do Norte,Northeast,2852784,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,11,RO,Rondonia,North,1431777,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,14,RR,Roraima,North,346871,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,43,RS,Rio Grande do Sul,South,10408540,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,42,SC,Santa Catarina,South,5527707,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,28,SE,Sergipe,Northeast,1846039,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,35,SP,Sao Paulo,Southeast,38177742,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,17,TO,Tocantins,North,1207014,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,12,AC,Acre,North,600595,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,27,AL,Alagoas,Northeast,2917664,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,13,AM,Amazonas,North,3031068,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,16,AP,Amapa,North,534835,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,29,BA,Bahia,Northeast,13435612,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,23,CE,Ceara,Northeast,7758441,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,53,DF,Distrito Federal,Center-West,2189789,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,32,ES,Espirito Santo,Southeast,3250219,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,52,GO,Goias,Center-West,5306459,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,21,MA,Maranhao,Northeast,5873655,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,31,MG,Minas Gerais,Southeast,18553312,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,50,MS,Mato Grosso do Sul,Center-West,2169688,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,51,MT,Mato Grosso,Center-West,2651335,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,15,PA,Para,North,6574993,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,25,PB,Paraiba,Northeast,3518595,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,26,PE,Pernambuco,Northeast,8161862,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,22,PI,Piaui,Northeast,2923725,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,41,PR,Parana,South,9906866,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,33,RJ,Rio de Janeiro,Southeast,14879118,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,24,RN,Rio Grande do Norte,Northeast,2888058,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,11,RO,Rondonia,North,1455907,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,14,RR,Roraima,North,357302,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,43,RS,Rio Grande do Sul,South,10510992,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,42,SC,Santa Catarina,South,5607233,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,28,SE,Sergipe,Northeast,1874613,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,35,SP,Sao Paulo,Southeast,38709320,SIDRA/EstimaPop,annual,1 July,6579,observed,
2003,2003-07-01,2003,17,TO,Tocantins,North,1230181,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,12,AC,Acre,North,630328,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,27,AL,Alagoas,Northeast,2980910,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,13,AM,Amazonas,North,3138726,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,16,AP,Amapa,North,547400,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,29,BA,Bahia,Northeast,13682074,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,23,CE,Ceara,Northeast,7976563,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,53,DF,Distrito Federal,Center-West,2282049,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,32,ES,Espirito Santo,Southeast,3352024,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,52,GO,Goias,Center-West,5508245,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,21,MA,Maranhao,Northeast,6021504,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,31,MG,Minas Gerais,Southeast,18993720,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,50,MS,Mato Grosso do Sul,Center-West,2227794,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,51,MT,Mato Grosso,Center-West,2742646,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,15,PA,Para,North,6850181,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,25,PB,Paraiba,Northeast,3568350,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,26,PE,Pernambuco,Northeast,8323911,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,22,PI,Piaui,Northeast,2974698,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,41,PR,Parana,South,10135388,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,33,RJ,Rio de Janeiro,Southeast,15203750,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,24,RN,Rio Grande do Norte,Northeast,2962107,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,11,RO,Rondonia,North,1562085,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,14,RR,Roraima,North,381896,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,43,RS,Rio Grande do Sul,South,10726063,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,42,SC,Santa Catarina,South,5774178,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,28,SE,Sergipe,Northeast,1934596,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,35,SP,Sao Paulo,Southeast,39825226,SIDRA/EstimaPop,annual,1 July,6579,observed,
2004,2004-07-01,2004,17,TO,Tocantins,North,1262644,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,12,AC,Acre,North,669736,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,27,AL,Alagoas,Northeast,3015912,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,13,AM,Amazonas,North,3232330,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,16,AP,Amapa,North,594587,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,29,BA,Bahia,Northeast,13815334,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,23,CE,Ceara,Northeast,8097276,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,53,DF,Distrito Federal,Center-West,2333108,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,32,ES,Espirito Santo,Southeast,3408365,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,52,GO,Goias,Center-West,5619917,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,21,MA,Maranhao,Northeast,6103327,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,31,MG,Minas Gerais,Southeast,19237450,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,50,MS,Mato Grosso do Sul,Center-West,2264468,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,51,MT,Mato Grosso,Center-West,2803274,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,15,PA,Para,North,6970586,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,25,PB,Paraiba,Northeast,3595886,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,26,PE,Pernambuco,Northeast,8413593,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,22,PI,Piaui,Northeast,3006885,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,41,PR,Parana,South,10261856,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,33,RJ,Rio de Janeiro,Southeast,15383407,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,24,RN,Rio Grande do Norte,Northeast,3003087,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,11,RO,Rondonia,North,1534594,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,14,RR,Roraima,North,391317,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,43,RS,Rio Grande do Sul,South,10845087,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,42,SC,Santa Catarina,South,5866568,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,28,SE,Sergipe,Northeast,1967791,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,35,SP,Sao Paulo,Southeast,40442795,SIDRA/EstimaPop,annual,1 July,6579,observed,
2005,2005-07-01,2005,17,TO,Tocantins,North,1305728,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,12,AC,Acre,North,686652,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,27,AL,Alagoas,Northeast,3050652,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,13,AM,Amazonas,North,3311026,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,16,AP,Amapa,North,615715,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,29,BA,Bahia,Northeast,13950146,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,23,CE,Ceara,Northeast,8217085,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,53,DF,Distrito Federal,Center-West,2383784,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,32,ES,Espirito Santo,Southeast,3464285,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,52,GO,Goias,Center-West,5730753,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,21,MA,Maranhao,Northeast,6184538,SIDRA/EstimaPop,annual,1 July,6579,observed,
