competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200703,2007-03-01,2007,3,50,MS,Mato Grosso do Sul,Center-West,58,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,51,MT,Mato Grosso,Center-West,52,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,15,PA,Para,North,44,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,25,PB,Paraiba,Northeast,317,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,26,PE,Pernambuco,Northeast,311,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,22,PI,Piaui,Northeast,76,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,41,PR,Parana,South,549,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,33,RJ,Rio de Janeiro,Southeast,821,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,24,RN,Rio Grande do Norte,Northeast,196,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,11,RO,Rondonia,North,59,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,14,RR,Roraima,North,41,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,43,RS,Rio Grande do Sul,South,316,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,42,SC,Santa Catarina,South,386,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,28,SE,Sergipe,Northeast,123,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,35,SP,Sao Paulo,Southeast,1295,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,17,TO,Tocantins,North,24,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,12,AC,Acre,North,0,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,27,AL,Alagoas,Northeast,64,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,13,AM,Amazonas,North,10,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,16,AP,Amapa,North,-12,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
