pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,tax_siconfi,public_sector,2023-08-01,post,0.027280698112957857
AC,tax_siconfi,public_sector,2023-10-01,post,0.0571695885526724
AC,tax_siconfi,public_sector,2023-12-01,post,0.07249218774531041
AC,tax_siconfi,public_sector,2024-02-01,post,-0.022206193408941033
AC,tax_siconfi,public_sector,2024-04-01,post,-0.06082104000871258
AC,tax_siconfi,public_sector,2024-06-01,post,-0.08961939322559243
AC,tax_siconfi,public_sector,2024-08-01,post,-0.020617500937341937
AC,investment_siconfi,public_sector,2018-10-01,pre,0.4930468074574952
AC,investment_siconfi,public_sector,2018-12-01,pre,-0.2570362630605496
AC,investment_siconfi,public_sector,2019-02-01,pre,1.9259942936776855
AC,investment_siconfi,public_sector,2019-04-01,pre,-0.1258264694344331
AC,investment_siconfi,public_sector,2019-06-01,pre,-0.10250989325101711
AC,investment_siconfi,public_sector,2019-08-01,pre,-0.5429112907603804
AC,investment_siconfi,public_sector,2019-10-01,pre,-0.9937179003961085
AC,investment_siconfi,public_sector,2019-12-01,pre,0.12717424407329503
AC,investment_siconfi,public_sector,2020-02-01,pre,2.1145964023164026
AC,investment_siconfi,public_sector,2020-04-01,pre,-3.533817428595931e-4
AC,investment_siconfi,public_sector,2020-06-01,pre,-0.33448522135921266
AC,investment_siconfi,public_sector,2020-08-01,pre,0.47738828853244186
AC,investment_siconfi,public_sector,2020-10-01,pre,-0.73325676905605075
AC,investment_siconfi,public_sector,2020-12-01,pre,-0.511974087302741
AC,investment_siconfi,public_sector,2021-02-01,pre,-0.33403734172317145
AC,investment_siconfi,public_sector,2021-04-01,pre,-0.026191845478656717
AC,investment_siconfi,public_sector,2021-06-01,pre,0.3911861483599366
AC,investment_siconfi,public_sector,2021-08-01,pre,0.36576960818083215
AC,investment_siconfi,public_sector,2021-10-01,pre,0.08285869081650699
AC,investment_siconfi,public_sector,2021-12-01,pre,-0.1663775916000807
AC,investment_siconfi,public_sector,2022-02-01,pre,0.46363582279676496
AC,investment_siconfi,public_sector,2022-04-01,pre,0.10009659057359244
AC,investment_siconfi,public_sector,2022-06-01,pre,-0.16042498438996144
AC,investment_siconfi,public_sector,2022-08-01,pre,-0.2779743428388759
AC,investment_siconfi,public_sector,2022-10-01,post,0.14564072471087908
AC,investment_siconfi,public_sector,2022-12-01,post,0.5111282769967227
AC,investment_siconfi,public_sector,2023-02-01,post,-0.17413468993058157
AC,investment_siconfi,public_sector,2023-04-01,post,-0.13675902958620068
AC,investment_siconfi,public_sector,2023-06-01,post,0.15161755950477307
AC,investment_siconfi,public_sector,2023-08-01,post,-0.4992938091985617
AC,investment_siconfi,public_sector,2023-10-01,post,-0.7283127069219244
AC,investment_siconfi,public_sector,2023-12-01,post,0.14908070008856456
AC,investment_siconfi,public_sector,2024-02-01,post,-0.5906618896515585
AC,investment_siconfi,public_sector,2024-04-01,post,0.037076532947537544
AC,investment_siconfi,public_sector,2024-06-01,post,0.14249365210494247
AC,investment_siconfi,public_sector,2024-08-01,post,-0.42915454502995143
AC,totalexp_siconfi,public_sector,2018-10-01,pre,0.23938721828426335
AC,totalexp_siconfi,public_sector,2018-12-01,pre,-0.010900944247976163
AC,totalexp_siconfi,public_sector,2019-02-01,pre,-0.09927951273569846
AC,totalexp_siconfi,public_sector,2019-04-01,pre,0.04219580061683281
AC,totalexp_siconfi,public_sector,2019-06-01,pre,0.21280552666403896
AC,totalexp_siconfi,public_sector,2019-08-01,pre,0.32148590155077805
AC,totalexp_siconfi,public_sector,2019-10-01,pre,-0.05911209210592805
AC,totalexp_siconfi,public_sector,2019-12-01,pre,-0.29254560135373175
AC,totalexp_siconfi,public_sector,2020-02-01,pre,0.05780821482988152
AC,totalexp_siconfi,public_sector,2020-04-01,pre,0.20948826521095576
AC,totalexp_siconfi,public_sector,2020-06-01,pre,-0.09978229052830034
AC,totalexp_siconfi,public_sector,2020-08-01,pre,0.20783551187034277
