event_id,outcome,short,channel,family,gap_post,pct_effect,effect_display,effect_for_plot,effect_label,mag_sd,persistence,pre_trend_p,treated_pre_rmspe,median_donor_pre_rmspe,prefit_class,rank,n_units,classic_p,loo_frac_same_sign,C1_prefit,C2_magnitude,C3_persistence,C4_placebo,C5_robust,robustness_score,tier,considerable,direction,regime,removal_date,main_sample,timing
RJ_2014_01,services,Services volume,consumption,monthly,4.631333756231963,4.12866044082626,pct,4.12866044082626,+4.1%,1.0596676486535872,0.8333333333333334,0.41845689744045855,2.6781879674443365,2.7878005055775796,B,9,27,0.3333333333333333,1,TRUE,TRUE,TRUE,FALSE,TRUE,4,suggestive,TRUE,positive,confaz,2014-04-03,0,last-year
RJ_2014_01,formal_hiring,Formal hiring,labor_market,monthly,-2.3360378079361626,,absolute,-2.3360378079361626,-2.3,0.061287339164558904,0.5416666666666666,0.26890603698240134,27.12586767101602,35.457381383745926,A,10,27,0.37037037037037035,1,TRUE,FALSE,FALSE,FALSE,TRUE,2,weak,FALSE,negative,confaz,2014-04-03,0,last-year
RJ_2014_01,construction,Construction,labor_market,monthly,-1.969830105366605,,absolute,-1.969830105366605,-2.0,0.15854183040170441,0.5833333333333334,0.3907827209769379,12.826036383303125,13.574843015129684,B,16,27,0.5925925925925926,0.9230769230769231,TRUE,FALSE,FALSE,FALSE,TRUE,2,weak,FALSE,negative,confaz,2014-04-03,0,last-year
RJ_2014_01,icms_confaz,ICMS,public_sector,monthly,-0.09646141925790756,-9.195507002879044,pct,-9.195507002879044,-9.2%,1.5848272938413288,0.7916666666666666,0.3733095608059942,0.06372794505678987,0.06818569320858961,B,4,27,0.14814814814814814,1,TRUE,TRUE,TRUE,TRUE,TRUE,5,strong,TRUE,negative,confaz,2014-04-03,0,last-year
RJ_2014_01,tax_confaz,Tax revenue,public_sector,monthly,-0.06814413656162284,-6.587417781078086,pct,-6.587417781078086,-6.6%,1.2732380590095753,0.75,0.4807097838753459,0.07189815679588216,0.08068381300763196,B,5,27,0.18518518518518517,1,TRUE,TRUE,TRUE,FALSE,TRUE,4,suggestive,TRUE,negative,confaz,2014-04-03,0,last-year
AM_2017_01,retail,Retail volume,consumption,monthly,-1.2913602832342743,-1.497349132449747,pct,-1.497349132449747,-1.5%,0.19402580075705725,0.75,0.8439582285125431,2.294878405016324,2.025610294312721,C,20,25,0.8,0.9583333333333334,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative,confaz,2017-05-04,1,earlier
AM_2017_01,services,Services volume,consumption,monthly,0.8736626762306384,1.1077309289086872,pct,1.1077309289086872,+1.1%,0.08248727667720146,0.5833333333333334,0.013391654236054555,3.321850120026255,3.2004105484389225,C,17,25,0.68,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,non-interpretable,FALSE,positive,confaz,2017-05-04,1,earlier
AM_2017_01,formal_hiring,Formal hiring,labor_market,monthly,9.931900700546395,,absolute,9.931900700546395,+9.9,0.27649534800500186,0.625,0.7672937180292393,24.872190910493305,32.38787745672678,B,13,25,0.52,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,positive,confaz,2017-05-04,1,earlier
AM_2017_01,construction,Construction,labor_market,monthly,0.5356638214947181,,absolute,0.5356638214947181,+0.5,0.07295373135557763,0.5833333333333334,0.7503908764461933,10.71239532556302,11.283182292984836,B,24,25,0.96,0.9166666666666666,TRUE,FALSE,FALSE,FALSE,TRUE,2,weak,FALSE,positive,confaz,2017-05-04,1,earlier
AM_2017_01,icms_confaz,ICMS,public_sector,monthly,0.0540573056223604,5.55450890902025,pct,5.55450890902025,+5.6%,0.4560755932210919,0.9583333333333334,0.2510100721991418,0.06946666190987016,0.075620951954737,B,16,25,0.64,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,positive,confaz,2017-05-04,1,earlier
