pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,formal_hiring,labor_market,2014-04-01,post,-56.36256229657901
AC,formal_hiring,labor_market,2014-05-01,post,-24.897051759923542
AC,formal_hiring,labor_market,2014-06-01,post,-1.9128937872618181
AC,formal_hiring,labor_market,2014-07-01,post,30.255364867057203
AC,formal_hiring,labor_market,2014-08-01,post,4.2799036371761225
AC,formal_hiring,labor_market,2014-09-01,post,-29.96293613415029
AC,formal_hiring,labor_market,2014-10-01,post,46.74079156349191
AC,formal_hiring,labor_market,2014-11-01,post,-10.473704044850052
AC,formal_hiring,labor_market,2014-12-01,post,-52.38590171079871
AC,formal_hiring,labor_market,2015-01-01,post,-25.684934561658665
AC,formal_hiring,labor_market,2015-02-01,post,6.817017240368656
AC,formal_hiring,labor_market,2015-03-01,post,19.02165118325225
AC,formal_hiring,labor_market,2015-04-01,post,82.49916311970637
AC,formal_hiring,labor_market,2015-05-01,post,26.218611455695715
AC,formal_hiring,labor_market,2015-06-01,post,39.205642935035144
AC,formal_hiring,labor_market,2015-07-01,post,20.331657814461003
AC,formal_hiring,labor_market,2015-08-01,post,173.4600169359578
AC,formal_hiring,labor_market,2015-09-01,post,9.690291094671167
AC,formal_hiring,labor_market,2015-10-01,post,-1.7334140855398488
AC,formal_hiring,labor_market,2015-11-01,post,-3.302527130155461
AC,formal_hiring,labor_market,2015-12-01,post,6.288865066026915
AC,formal_hiring,labor_market,2016-01-01,post,21.880785658324523
AC,formal_hiring,labor_market,2016-02-01,post,-0.9750312081020454
AC,formal_hiring,labor_market,2016-03-01,post,-16.586839972866716
AC,construction,labor_market,2011-04-01,pre,-9.60122744190311
AC,construction,labor_market,2011-05-01,pre,30.854269679927153
AC,construction,labor_market,2011-06-01,pre,23.20420640119397
AC,construction,labor_market,2011-07-01,pre,-33.68626427750665
AC,construction,labor_market,2011-08-01,pre,-19.28234129971615
AC,construction,labor_market,2011-09-01,pre,-8.568466365397803
AC,construction,labor_market,2011-10-01,pre,-49.615839016412764
AC,construction,labor_market,2011-11-01,pre,25.272116902025804
AC,construction,labor_market,2011-12-01,pre,-4.738001439474944
AC,construction,labor_market,2012-01-01,pre,14.241197080887737
AC,construction,labor_market,2012-02-01,pre,-21.388043859206682
AC,construction,labor_market,2012-03-01,pre,0.4651327254121185
AC,construction,labor_market,2012-04-01,pre,79.80426685597283
AC,construction,labor_market,2012-05-01,pre,-24.00014134678085
AC,construction,labor_market,2012-06-01,pre,-24.13634021429436
AC,construction,labor_market,2012-07-01,pre,12.155077351977337
AC,construction,labor_market,2012-08-01,pre,-20.688987810019547
AC,construction,labor_market,2012-09-01,pre,-32.35911616991881
AC,construction,labor_market,2012-10-01,pre,-0.8456458473664947
AC,construction,labor_market,2012-11-01,pre,-55.16502264093562
AC,construction,labor_market,2012-12-01,pre,-23.897319255603097
AC,construction,labor_market,2013-01-01,pre,-28.935826199953077
AC,construction,labor_market,2013-02-01,pre,-2.832467766492515
AC,construction,labor_market,2013-03-01,pre,19.54354883177026
AC,construction,labor_market,2013-04-01,pre,-1.453143249337633
AC,construction,labor_market,2013-05-01,pre,47.204418252518636
AC,construction,labor_market,2013-06-01,pre,-12.140591162867672
AC,construction,labor_market,2013-07-01,pre,-3.2969489039951956
AC,construction,labor_market,2013-08-01,pre,2.8900306255251618
AC,construction,labor_market,2013-09-01,pre,16.806671254435827
AC,construction,labor_market,2013-10-01,pre,-18.54516784263355
AC,construction,labor_market,2013-11-01,pre,41.97036668150234
AC,construction,labor_market,2013-12-01,pre,-4.312690953312
AC,construction,labor_market,2014-01-01,pre,28.5600553400442
AC,construction,labor_market,2014-02-01,pre,-2.1319029343561384
AC,construction,labor_market,2014-03-01,pre,-20.781089460873044
AC,construction,labor_market,2014-04-01,post,-21.89424888999296
AC,construction,labor_market,2014-05-01,post,-20.384386123977713
AC,construction,labor_market,2014-06-01,post,-17.706090259637527
AC,construction,labor_market,2014-07-01,post,45.32928706875776
AC,construction,labor_market,2014-08-01,post,-14.472737453849565
AC,construction,labor_market,2014-09-01,post,-28.122217807172813
AC,construction,labor_market,2014-10-01,post,-2.760912882616047
AC,construction,labor_market,2014-11-01,post,-5.9919728924088425
AC,construction,labor_market,2014-12-01,post,6.948852931722367
AC,construction,labor_market,2015-01-01,post,-21.087791468396443
AC,construction,labor_market,2015-02-01,post,7.275263364784376
AC,construction,labor_market,2015-03-01,post,-21.082799414021125
AC,construction,labor_market,2015-04-01,post,0.3090150285772353
AC,construction,labor_market,2015-05-01,post,-6.937930970154223
AC,construction,labor_market,2015-06-01,post,3.108660660245473
AC,construction,labor_market,2015-07-01,post,-3.839607789003132
