period,period_date,year,quarter,sidra_period_code,sidra_period_label,uf,state_abbrev,state_name,macroregion,pnadc_population,pnadc_population_original_unit,unemployment_rate_pnadc,labor_income_real_pnadc,informality_rate_pnadc,formalization_rate_pnadc,income_variable_used,population_concept,formalization_rule,source_system,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,instability_start_date,removal_date
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,41,PR,Parana,South,8841000,Mil pessoas,0.054,3693,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,33,RJ,Rio de Janeiro,Southeast,14020000,Mil pessoas,0.066,3503,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,24,RN,Rio Grande do Norte,Northeast,2605000,Mil pessoas,0.116,2520,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,11,RO,Rondonia,North,1261000,Mil pessoas,0.045,2693,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,14,RR,Roraima,North,341000,Mil pessoas,0.091,3777,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,TRUE,FALSE,TRUE,treated_unit,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,43,RS,Rio Grande do Sul,South,9018000,Mil pessoas,0.05799999999999999,3783,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,42,SC,Santa Catarina,South,5543000,Mil pessoas,0.039,3677,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,28,SE,Sergipe,Northeast,1676000,Mil pessoas,0.08800000000000001,2597,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,35,SP,Sao Paulo,Southeast,35904000,Mil pessoas,0.086,4450,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,17,TO,Tocantins,North,1078000,Mil pessoas,0.08800000000000001,2782,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,12,AC,Acre,North,567000,Mil pessoas,0.08900000000000001,2647,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,27,AL,Alagoas,Northeast,2398000,Mil pessoas,0.119,2175,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,13,AM,Amazonas,North,2645000,Mil pessoas,0.097,2643,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:AM_2017_01,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,16,AP,Amapa,North,519000,Mil pessoas,0.103,2829,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,29,BA,Bahia,Northeast,11242000,Mil pessoas,0.128,2167,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,23,CE,Ceara,Northeast,6823000,Mil pessoas,0.08900000000000001,2137,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,53,DF,Distrito Federal,Center-West,2224000,Mil pessoas,0.098,6042,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,32,ES,Espirito Santo,Southeast,3054000,Mil pessoas,0.068,3124,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,52,GO,Goias,Center-West,5172000,Mil pessoas,0.075,3012,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,21,MA,Maranhao,Northeast,4913000,Mil pessoas,0.09,1627,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,31,MG,Minas Gerais,Southeast,16489000,Mil pessoas,0.08,2805,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,50,MS,Mato Grosso do Sul,Center-West,1984000,Mil pessoas,0.063,3020,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,51,MT,Mato Grosso,Center-West,2501000,Mil pessoas,0.063,3227,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,15,PA,Para,North,5880000,Mil pessoas,0.091,2016,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,25,PB,Paraiba,Northeast,3013000,Mil pessoas,0.093,2217,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,26,PE,Pernambuco,Northeast,7177000,Mil pessoas,0.092,2572,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,22,PI,Piaui,Northeast,2520000,Mil pessoas,0.077,1996,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,41,PR,Parana,South,8848000,Mil pessoas,0.062,3524,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,33,RJ,Rio de Janeiro,Southeast,14047000,Mil pessoas,0.073,3489,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,24,RN,Rio Grande do Norte,Northeast,2586000,Mil pessoas,0.118,2352,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,11,RO,Rondonia,North,1257000,Mil pessoas,0.049,2652,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,14,RR,Roraima,North,342000,Mil pessoas,0.079,3240,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,TRUE,FALSE,TRUE,treated_unit,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,43,RS,Rio Grande do Sul,South,9020000,Mil pessoas,0.06,3455,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,42,SC,Santa Catarina,South,5592000,Mil pessoas,0.04,3492,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,28,SE,Sergipe,Northeast,1693000,Mil pessoas,0.092,2424,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,35,SP,Sao Paulo,Southeast,35942000,Mil pessoas,0.092,4403,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q2,2015-04-01,2015,2,201502,2 trimestre 2015,17,TO,Tocantins,North,1079000,Mil pessoas,0.077,2720,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,12,AC,Acre,North,572000,Mil pessoas,0.08900000000000001,2483,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,27,AL,Alagoas,Northeast,2416000,Mil pessoas,0.109,2162,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,13,AM,Amazonas,North,2673000,Mil pessoas,0.103,2617,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:AM_2017_01,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,16,AP,Amapa,North,522000,Mil pessoas,0.119,2860,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,29,BA,Bahia,Northeast,11228000,Mil pessoas,0.129,2162,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,23,CE,Ceara,Northeast,6819000,Mil pessoas,0.097,2103,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,53,DF,Distrito Federal,Center-West,2244000,Mil pessoas,0.104,5918,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,32,ES,Espirito Santo,Southeast,3060000,Mil pessoas,0.083,3099,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,52,GO,Goias,Center-West,5215000,Mil pessoas,0.07400000000000001,3050,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,21,MA,Maranhao,Northeast,4953000,Mil pessoas,0.086,1647,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,31,MG,Minas Gerais,Southeast,16578000,Mil pessoas,0.08800000000000001,2801,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,50,MS,Mato Grosso do Sul,Center-West,1983000,Mil pessoas,0.063,2910,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,51,MT,Mato Grosso,Center-West,2508000,Mil pessoas,0.067,3165,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,15,PA,Para,North,5916000,Mil pessoas,0.085,2050,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,25,PB,Paraiba,Northeast,3030000,Mil pessoas,0.105,2215,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,26,PE,Pernambuco,Northeast,7255000,Mil pessoas,0.113,2443,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,22,PI,Piaui,Northeast,2523000,Mil pessoas,0.077,1974,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,41,PR,Parana,South,8881000,Mil pessoas,0.062,3513,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,33,RJ,Rio de Janeiro,Southeast,14041000,Mil pessoas,0.083,3516,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,24,RN,Rio Grande do Norte,Northeast,2599000,Mil pessoas,0.128,2403,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,11,RO,Rondonia,North,1258000,Mil pessoas,0.067,2576,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,14,RR,Roraima,North,345000,Mil pessoas,0.094,3110,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,TRUE,FALSE,TRUE,treated_unit,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,43,RS,Rio Grande do Sul,South,9035000,Mil pessoas,0.07,3325,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,42,SC,Santa Catarina,South,5621000,Mil pessoas,0.044,3448,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
