state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,icms_confaz,tax_confaz,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log
DF,2010-02-01,2010,2,119.012170796465,,106.273302469113,-1.02044643644376,4.98015520683896,5.04895919920181,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,10,357522832,2570160,117.80131116816833,4.7689994016153765,139.10528216142185,835.4487973085936,6.727969062265944
DF,2010-03-01,2010,3,122.288201377203,,77.6045529438394,-83.042928179167,4.91008119283246,5.04687518681798,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,11,339124359,2570160,118.8853564063815,4.77815963720862,131.94678891586517,837.793841997153,6.730772058279611
DF,2010-04-01,2010,4,117.489681119526,,108.275048842049,5.04837012019072,5.0387882415706,5.18256160483039,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,12,409784855,2570160,118.85442105776016,4.77789939174927,159.4394337317521,868.68241483554,6.766977597979986
DF,2010-05-01,2010,5,122.4736437504,,147.341064292327,55.0109610493231,4.91867440878788,5.03414567290133,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,13,360542329,2570160,119.84316028316283,4.786183890275367,140.28011057677344,866.8774614374929,6.764897630502692
DF,2010-06-01,2010,6,123.326620581234,,48.1178382423621,12.6986243043728,4.92599954791652,5.05422013056285,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,14,376104231,2570160,120.496322016593,4.791619229781007,146.33494840788123,877.1826831792573,6.776715275331158
DF,2010-07-01,2010,7,124.099704813688,,24.1696286882384,0.1809009615265,4.92042760761996,5.06688596034346,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,15,372528966,2570160,121.448337073086,4.799488963078493,144.94388131478195,862.0504451084757,6.759313789958918
DF,2010-08-01,2010,8,123.801374329184,,46.0041818976656,10.762442703783,4.96916424498368,5.0904774360207,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,16,389543225,2570160,122.2465376618725,4.806039806169638,151.5638034207987,874.5089663678526,6.773662547542575
DF,2010-09-01,2010,9,123.018123810731,,134.342876494861,32.6245638634376,4.93561429297344,5.06056103172796,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,17,386129730,2570160,122.36819140079383,4.807034462128559,150.23567793444766,892.7978553864351,6.794360189503233
DF,2010-10-01,2010,10,125.141791377847,,70.9530859758272,27.7315826075679,5.04042070806284,5.1386694588406,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,18,426883310,2570160,123.643543110514,4.817402773521988,166.09211488778908,899.450536542472,6.801784061931361
DF,2010-11-01,2010,11,126.043732573875,,112.413269000767,25.8346166376738,4.85707936655893,4.99946784088991,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,19,374474544,2570160,124.23855791442651,4.822203571516358,145.70086842842468,904.8712943941233,6.807792717447162
