state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,caged_balance,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log,formal_hiring_6m_per1k
RS,2016-06-01,2016,6,82.8294104584149,100.426665463902,-6.62030813295475,-1.48125334777505,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-30,2365955025,-10340,11286500,81.80660072580478,4.404357933822655,209.62699020954238,1328.0879508262083,7.191495555875183,-1.3658795906614096
RS,2016-07-01,2016,7,81.4150523085172,97.5636955854852,-55.9158531822536,-15.5029601849418,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-29,2501954349,-12166,11286500,81.67456727575235,4.4027426593494665,221.6767243166615,1330.4962782970806,7.193307293192547,-3.0873167057989632
RS,2016-08-01,2016,8,80.4151021643296,97.7866106849442,-5.70546514064639,-8.08055524813126,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-28,2476177101,-1690,11286500,81.29364298655726,4.398067821449342,219.3928233730563,1327.5797978115447,7.191112862655276,-3.7748637753067826
RS,2016-09-01,2016,9,80.2549172171718,97.1931808769176,-32.641816225075,-10.1513631605031,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-27,2574141689,-2828,11286500,81.20544353952994,4.396982283584803,228.0726256146724,1337.4919758118106,7.198551479359127,-4.450981260798299
RS,2016-10-01,2016,10,80.320229544374,97.5225152760197,-36.1128683621052,-10.7922132536622,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-26,2568488804,2386,11286500,81.0492321680257,4.395056774577596,227.57177193992823,1329.8018297080582,7.192785209894659,-3.5854339254862
RS,2016-11-01,2016,11,78.356294970049,95.2922141844041,-67.6519289751944,-15.7296633166386,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-25,2600542467,1191,11286500,80.59850111047608,4.389480052695445,230.41177220573252,1336.7527076595934,7.197998599381002,-2.0774376467461124
RS,2016-12-01,2016,12,74.2259999416842,93.0390657236537,-29.884588754871,-6.49325695445696,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-24,2675004331,-28743,11286500,79.164599357687635,4.371529221089049,237.00919957471316,1364.134917024764,7.218275746286615,-3.7079696983121426
RS,2017-01-01,2017,1,85.3166970110494,94.7353846796479,-62.0408128268583,-3.55070923810971,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-23,2906109690,8134,11322895,79.81487347477633,4.379709871484043,256.65783264792265,1399.1160253560251,7.243595905719833,-1.903223513067992
RS,2017-02-01,2017,2,82.2951043230196,94.7734690249525,-18.7826989572548,-5.57942041599525,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-22,2438979546,10602,11322895,80.12820716789133,4.3836279414961385,215.4024695981019,1395.125671581071,7.2407397773527515,-0.8176354192103698
RS,2017-03-01,2017,3,84.9757121800135,93.1825518018902,-10.5285281009158,-9.50535055667082,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-21,2461369795,5236,11322895,80.91500632836495,4.39339929917888,217.37990107653565,1384.432947042934,7.2330459102666,-0.1054500637866906
RS,2017-04-01,2017,4,85.4267401649324,93.5579223081512,-6.19463594165938,-5.64338219848256,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-20,2877422563,-3044,11322895,81.76609143179135,4.403862627493618,254.1242820851028,1410.9854571881087,7.252043645058458,-0.5850093990980222
RS,2017-05-01,2017,5,85.4254624191902,98.0156804358338,-7.03949698566401,-5.55784277926388,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-19,2534913125,-12360,11322895,82.94428600664821,4.41816912947353,223.87500060717687,1404.448685589553,7.247400110162758,-1.7817881381042568
RS,2017-06-01,2017,6,86.7824178452838,95.4389599482957,-18.1544596788268,2.32344452434173,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-18,2663303247,-9513,11322895,85.03702232391481,4.443086718414947,235.21398432114756,1402.6534703359875,7.2461210576747535,-0.0834592213387124
RS,2017-07-01,2017,7,85.1136217401896,98.1161189083005,32.1287497064129,1.62193438289573,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-17,2523526720,-1149,11322895,85.00317644543819,4.442688625738409,222.8693916176031,1368.8650293056678,7.221737229709049,-0.9033025564575138
RS,2017-08-01,2017,8,87.6232477512827,94.7553849146709,2.01939738873952,5.4517105975639,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-16,2606743053,-1375,11322895,85.8912003501487,4.4530813831159035,230.21877823648458,1383.6813379440505,7.232502862516418,-1.9610709098688983
RS,2017-09-01,2017,9,88.5704496387463,94.0734367978125,-20.8064680888291,1.28420149286263,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-15,2720026784,-278,11322895,86.4903232599375,4.4600325378526255,240.22361631013976,1406.5250531776546,7.248877440197617,-2.44804884263256
RS,2017-10-01,2017,10,88.781577095155,91.974575625397,-9.91074383296689,-10.6834098713976,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-14,2653947788,8084,11322895,87.04946274830793,4.4664764944353355,234.3877416508764,1386.7885127434283,7.234745930493773,-1.4652613134715107
RS,2017-11-01,2017,11,89.9262768936519,94.4106966009797,8.13700050477782,-2.92637795085578,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-13,2796401437,8753,11322895,87.79959849405155,4.475056927669926,246.96876876452532,1409.8822809007768,7.251261491163983,0.39936782951709787
RS,2017-12-01,2017,12,90.0184934238667,97.2399623308692,-16.6245558416987,19.3386412545237,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-12,2750679632,-25459,11322895,88.33894442381536,4.4811810570797315,242.93077273965713,1417.5990693192862,7.256719923332039,-1.0089292535168788
