period_date,event_time,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmented_synthetic_value,scm_gap,augmented_gap,outcome,family
2017-07-01,-17,4.323080859256602,4.37045612547994,-0.03587747549689101,0.06951927961775606,4.334578649983049,-0.04737526622333821,-0.011497790726447299,retail_ma3_log,monthly
2017-08-01,-16,4.350585592045687,4.37744131716373,-0.03758919559846504,0.06951927961775606,4.339852121565265,-0.02685572511804324,0.010733470480421836,retail_ma3_log,monthly
2017-09-01,-15,4.362357585653196,4.380396628791419,-0.03559734415919405,0.2069138081114788,4.344799284632225,-0.018039043138222688,0.017558301020971,retail_ma3_log,monthly
2017-10-01,-14,4.345500839947119,4.371620041160079,-0.029917352099585775,0.2069138081114788,4.341702689060493,-0.02611920121295963,0.0037981508866264946,retail_ma3_log,monthly
2017-11-01,-13,4.327981393472197,4.360065861640549,-0.033759712083175616,0.2069138081114788,4.326306149557373,-0.03208446816835142,0.0016752439148239873,retail_ma3_log,monthly
2017-12-01,-12,4.29385454341024,4.336374683724314,-0.0414153803173019,0.06951927961775606,4.294959303407012,-0.04252014031407381,-0.0011047599967719535,retail_ma3_log,monthly
2018-01-01,-11,4.309367139032549,4.342475064422626,-0.037395285586088796,8.858667904100823e-4,4.305079778836537,-0.03310792539007679,0.00428736019601228,retail_ma3_log,monthly
2018-02-01,-10,4.337175966333075,4.363092284351555,-0.04386911730637884,8.858667904100823e-4,4.319223167045176,-0.0259163180184796,0.017952799287899168,retail_ma3_log,monthly
2018-03-01,-9,4.386100977119301,4.407327138389056,-0.04376308628922873,0.007847599703514606,4.363564052099828,-0.021226161269755295,0.02253692501947313,retail_ma3_log,monthly
2018-04-01,-8,4.3914225586613895,4.426404930716766,-0.029034931016192984,5.455594781168514,4.397369999700572,-0.03498237205537613,-0.005947441039182877,retail_ma3_log,monthly
2018-05-01,-7,4.391773091712593,4.428180088147585,-0.03083422363839406,1.8329807108324339,4.39734586450919,-0.03640699643499179,-0.005572772796597292,retail_ma3_log,monthly
2018-06-01,-6,4.372777159307527,4.42073073197123,-0.032542893421733665,0.0026366508987303583,4.388187838549497,-0.047953572663702815,-0.015410679241969483,retail_ma3_log,monthly
2018-07-01,-5,4.359013124882046,4.391361982778039,-0.04155147948624437,8.858667904100823e-4,4.349810503291795,-0.03234885789599318,0.009202621590251425,retail_ma3_log,monthly
2018-08-01,-4,4.340632259142118,4.3845613484383,-0.046907972342450074,1e-4,4.33765337609585,-0.04392908929618233,0.0029788830462678106,retail_ma3_log,monthly
2018-09-01,-3,4.329934872694623,4.376813361990711,-0.05231522230916552,1e-4,4.324498139681545,-0.04687848929608762,0.005436733013078232,retail_ma3_log,monthly
2018-10-01,-2,4.341825001124697,4.396662919142485,-0.05718032243537175,0.007847599703514606,4.339482596707113,-0.054837918017788034,0.002342404417583488,retail_ma3_log,monthly
2018-11-01,-1,4.342066162930498,4.4115692148813626,-0.0611131710575932,1e-4,4.350456043823769,-0.06950305195086415,-0.00838988089327053,retail_ma3_log,monthly
2018-12-01,0,4.349057873229327,4.391249115775648,-0.07943769573978599,0.007847599703514606,4.311811420035862,-0.04219124254632067,0.037246453193465534,retail_ma3_log,monthly
2019-01-01,1,4.357598167106581,4.404759232071019,-0.06934510732469194,0.0026366508987303583,4.335414124746327,-0.047161064964437394,0.022184042360254175,retail_ma3_log,monthly
2019-02-01,2,4.364975113577808,4.415591926154757,-0.06604163829197933,0.2069138081114788,4.349550287862778,-0.0506168125769495,0.01542482571503001,retail_ma3_log,monthly
2019-03-01,3,4.374950449770333,4.464067581603307,-0.03287872272445542,1.8329807108324339,4.431188858878851,-0.08911713183297376,-0.056238409108518184,retail_ma3_log,monthly
2019-04-01,4,4.393803762166824,4.483412497013046,-0.024249192885745365,5.455594781168514,4.4591633041273004,-0.08960873484622223,-0.06535954196047644,retail_ma3_log,monthly
2019-05-01,5,4.412290421779427,4.497470905534185,-0.02109420167629196,5.455594781168514,4.476376703857893,-0.08518048375475828,-0.064086282078466,retail_ma3_log,monthly
2019-06-01,6,4.4345055519695675,4.502397127403665,-0.027390308861386995,5.455594781168514,4.475006818542278,-0.06789157543409718,-0.04050126657271047,retail_ma3_log,monthly
2019-07-01,7,4.432287147735101,4.49814575621075,-0.022238995538829017,16.23776739188721,4.475906760671921,-0.06585860847564895,-0.04361961293682004,retail_ma3_log,monthly
2019-08-01,8,4.424479317310622,4.494262339176844,-0.024378587552736045,16.23776739188721,4.469883751624108,-0.06978302186622187,-0.045404434313486064,retail_ma3_log,monthly
2019-09-01,9,4.4077892859443635,4.483940302818723,-0.023991852027931356,16.23776739188721,4.459948450790791,-0.0761510168743591,-0.052159164846427686,retail_ma3_log,monthly
2019-10-01,10,4.406991785589275,4.4830455010308325,-0.02500879491216533,16.23776739188721,4.458036706118667,-0.07605371544155748,-0.05104492052939236,retail_ma3_log,monthly
2019-11-01,11,4.446347960368675,4.484441400097902,-0.024612206337590817,16.23776739188721,4.459829193760311,-0.038093439729227185,-0.013481233391636316,retail_ma3_log,monthly
2019-12-01,12,4.435981680782475,4.500264864160984,-0.02667929269829066,16.23776739188721,4.473585571462693,-0.06428318337850936,-0.0376038906802183,retail_ma3_log,monthly
2020-01-01,13,4.433342861703826,4.513510911734308,-0.02447078379694504,16.23776739188721,4.489040127937363,-0.08016805003048155,-0.05569726623353688,retail_ma3_log,monthly
2020-02-01,14,4.4020334778361985,4.5231095173288045,-0.022909550876822806,16.23776739188721,4.500199966451982,-0.12107603949260604,-0.09816648861578336,retail_ma3_log,monthly
2020-03-01,15,4.386995598977275,4.482129430925496,-0.0336894636075133,5.455594781168514,4.448439967317983,-0.09513383194822111,-0.06144436834070799,retail_ma3_log,monthly
2020-04-01,16,4.329485757150283,4.3790309071019955,-0.026511655864448532,16.23776739188721,4.352519251237547,-0.04954514995171255,-0.023033494087264295,retail_ma3_log,monthly
2020-05-01,17,4.2931654439244245,4.284379146256102,-0.02120220545751485,16.23776739188721,4.263176940798587,0.008786297668322618,0.02998850312583734,retail_ma3_log,monthly
2020-06-01,18,4.337399805296585,4.300668349589963,-0.018238880279391537,16.23776739188721,4.282429469310571,0.036731455706622285,0.054970335986014085,retail_ma3_log,monthly
2020-07-01,19,4.414192065844755,4.430120908696304,-0.018269361038837046,16.23776739188721,4.4118515476574665,-0.015928842851548275,0.0023405181872888647,retail_ma3_log,monthly
2020-08-01,20,4.471157049394298,4.576226673766909,-0.04092393687186009,5.455594781168514,4.535302736895049,-0.1050696243726108,-0.06414568750075045,retail_ma3_log,monthly
2020-09-01,21,4.496540781928652,4.636266089399351,-0.03803640721191971,5.455594781168514,4.598229682187431,-0.139725307470699,-0.10168890025877886,retail_ma3_log,monthly
2020-10-01,22,4.511897350007499,4.656679107766814,-0.02975295003683738,5.455594781168514,4.626926157729977,-0.1447817577593149,-0.11502880772247792,retail_ma3_log,monthly
2020-11-01,23,4.5190765960207555,4.638367965833854,-0.030758736037644386,5.455594781168514,4.60760922979621,-0.11929136981309885,-0.08853263377545417,retail_ma3_log,monthly
