pseudo_treated_state,period_date,event_time,augmented_gap
AP,2010-09-01,7,-0.11568022745707829
AP,2010-10-01,8,-0.144685186022242
AP,2010-11-01,9,-0.1320371034441461
AP,2010-12-01,10,-0.1261022232361606
AP,2011-01-01,11,-0.15787437788992165
AP,2011-02-01,12,-0.15823686702202
AP,2011-03-01,13,-0.15552086986778768
AP,2011-04-01,14,-0.14138394469013615
AP,2011-05-01,15,-0.14707197690208051
AP,2011-06-01,16,-0.13803583353312732
AP,2011-07-01,17,-0.13503195956856384
AP,2011-08-01,18,-0.13821837897260103
AP,2011-09-01,19,-0.1315331094291805
AP,2011-10-01,20,-0.13085580345287884
AP,2011-11-01,21,-0.14147542597568474
AP,2011-12-01,22,-0.14462330343957408
AP,2012-01-01,23,-0.12641133857895603
BA,2007-07-01,-31,0.002482194415343919
BA,2007-08-01,-30,9.88805647534896e-4
BA,2007-09-01,-29,0.001356004187986315
BA,2007-10-01,-28,0.0010115066591920296
BA,2007-11-01,-27,0.001705157395011092
BA,2007-12-01,-26,-0.0013911076488550833
BA,2008-01-01,-25,0.002614338197569843
BA,2008-02-01,-24,-8.211364908197183e-4
BA,2008-03-01,-23,2.0962683887137956e-4
BA,2008-04-01,-22,-6.091355398325504e-4
BA,2008-05-01,-21,0.0012516982276524757
BA,2008-06-01,-20,3.7873417923073305e-4
BA,2008-07-01,-19,-0.001277722325537134
BA,2008-08-01,-18,0.0026445196709437013
BA,2008-09-01,-17,-0.00176992965589573
BA,2008-10-01,-16,2.8215887693328057e-4
BA,2008-11-01,-15,8.54500767884403e-4
BA,2008-12-01,-14,0.0027717612775930434
BA,2009-01-01,-13,-8.008369889731526e-4
BA,2009-02-01,-12,-0.0018879956841955092
BA,2009-03-01,-11,0.001122351473064498
BA,2009-04-01,-10,1.3008914070411493e-6
BA,2009-05-01,-9,0.0010191123567073745
BA,2009-06-01,-8,-6.104981351606753e-4
BA,2009-07-01,-7,-0.0010441104325575878
BA,2009-08-01,-6,-0.0016397342438310147
BA,2009-09-01,-5,3.8788133608580466e-4
BA,2009-10-01,-4,0.002553772278535149
BA,2009-11-01,-3,7.500183203301702e-4
BA,2009-12-01,-2,-2.7690717754058625e-4
BA,2010-01-01,-1,-4.6576140584519976e-4
BA,2010-02-01,0,-0.0070077587702988
BA,2010-03-01,1,-0.009948987052569969
BA,2010-04-01,2,-0.016978997115341343
BA,2010-05-01,3,-0.025863108173568072
BA,2010-06-01,4,-0.03170960392515898
BA,2010-07-01,5,-0.03701045148649218
BA,2010-08-01,6,-0.037643808047788774
BA,2010-09-01,7,-0.03829282752196406
BA,2010-10-01,8,-0.03467732186964767
BA,2010-11-01,9,-0.026852292686658785
BA,2010-12-01,10,-0.026683401487283653
BA,2011-01-01,11,-0.024772033329989895
BA,2011-02-01,12,-0.017986921526402355
BA,2011-03-01,13,-0.012724223822059955
BA,2011-04-01,14,-0.00851819764602979
BA,2011-05-01,15,-0.011274834108391474
BA,2011-06-01,16,-0.006868353684481576
BA,2011-07-01,17,-0.002167213041943228
BA,2011-08-01,18,-0.0031641916098124057
BA,2011-09-01,19,-0.004887998814832706
BA,2011-10-01,20,-0.010285544134354119
BA,2011-11-01,21,-0.0040854401922949535
BA,2011-12-01,22,-0.0046927808989201125
BA,2012-01-01,23,0.0019931040384344456
CE,2007-07-01,-31,0.008448369539469702
CE,2007-08-01,-30,0.0037708576537953675
CE,2007-09-01,-29,-0.004644179617420363
CE,2007-10-01,-28,0.0032018873081742782
CE,2007-11-01,-27,0.0033417159570054977
CE,2007-12-01,-26,-0.002343564703027212
CE,2008-01-01,-25,0.0025385339996848444
CE,2008-02-01,-24,2.9722769780526903e-4
CE,2008-03-01,-23,-0.0010377530574414706
CE,2008-04-01,-22,-0.0037140855470934042
CE,2008-05-01,-21,0.002301894681415284
CE,2008-06-01,-20,0.0019266753768008016
CE,2008-07-01,-19,-0.0030733396755913134
CE,2008-08-01,-18,0.002288754625382694
CE,2008-09-01,-17,0.011344299945328373
CE,2008-10-01,-16,4.1692599197951097e-4
CE,2008-11-01,-15,-0.001973586205869182
CE,2008-12-01,-14,0.0011488867940308012
CE,2009-01-01,-13,0.006501370995029454
CE,2009-02-01,-12,0.003228271018310913
CE,2009-03-01,-11,-0.003185593500184325
CE,2009-04-01,-10,-0.002196656931053198
CE,2009-05-01,-9,-6.692343963559111e-4
CE,2009-06-01,-8,0.0022846404456950964
CE,2009-07-01,-7,-5.894354178774819e-4
CE,2009-08-01,-6,-0.001091631308653973
CE,2009-09-01,-5,-0.0010935860884497828
CE,2009-10-01,-4,0.0055373185709211015
CE,2009-11-01,-3,-0.0030293291545167023
CE,2009-12-01,-2,-0.0015418067681212122
CE,2010-01-01,-1,-0.0012282796731311052
CE,2010-02-01,0,0.007955856825883068
CE,2010-03-01,1,0.012793865539923566
CE,2010-04-01,2,0.00986440607794048
CE,2010-05-01,3,0.023409202216637226
CE,2010-06-01,4,0.02955543475641509
CE,2010-07-01,5,0.03505019973052814
CE,2010-08-01,6,0.03566828134015765
CE,2010-09-01,7,0.03929625558184213
CE,2010-10-01,8,0.03804881332287113
CE,2010-11-01,9,0.06459088002222924
CE,2010-12-01,10,0.06512140918594067
CE,2011-01-01,11,0.06668576271568671
CE,2011-02-01,12,0.06960518900664159
CE,2011-03-01,13,0.07922749755134362
CE,2011-04-01,14,0.08147690505162064
CE,2011-05-01,15,0.07400944737584325
CE,2011-06-01,16,0.0751459174407838
CE,2011-07-01,17,0.0734343971879392
CE,2011-08-01,18,0.07385738833997646
CE,2011-09-01,19,0.07252698067829577
CE,2011-10-01,20,0.07648953915879719
CE,2011-11-01,21,0.07528732060970711
CE,2011-12-01,22,0.07554378443352938
CE,2012-01-01,23,0.07042432218909855
ES,2007-07-01,-31,0.01232868036972068
ES,2007-08-01,-30,0.0025110992888093264
ES,2007-09-01,-29,-4.270733921085679e-5
ES,2007-10-01,-28,-0.004542578791593144
ES,2007-11-01,-27,-0.008600126026883537
ES,2007-12-01,-26,0.0030664929450647804
ES,2008-01-01,-25,0.0023282042907535327
ES,2008-02-01,-24,-7.306767960111316e-4
ES,2008-03-01,-23,-2.1735916276721667e-4
ES,2008-04-01,-22,-1.683129204819167e-4
ES,2008-05-01,-21,0.006382121955748943
ES,2008-06-01,-20,-0.0023125618831114636
ES,2008-07-01,-19,-5.015263150909277e-5
ES,2008-08-01,-18,0.002220751759575812
ES,2008-09-01,-17,1.0076793781799154e-4
ES,2008-10-01,-16,-0.0022704001264814977
ES,2008-11-01,-15,-0.002569484300863678
ES,2008-12-01,-14,0.002366234376191656
ES,2009-01-01,-13,4.7773360240643825e-4
ES,2009-02-01,-12,0.002254713628340177
ES,2009-03-01,-11,-0.0021241485109042557
ES,2009-04-01,-10,-0.002420106646529696
ES,2009-05-01,-9,0.0018974860742817512
ES,2009-06-01,-8,-0.0013520778188897964
ES,2009-07-01,-7,9.158305740442074e-4
ES,2009-08-01,-6,5.551356247313066e-5
ES,2009-09-01,-5,0.0013974112594317134
ES,2009-10-01,-4,6.708219440234586e-4
ES,2009-11-01,-3,-0.005258735912597956
ES,2009-12-01,-2,0.0021563195587246398
ES,2010-01-01,-1,0.001420124694561764
ES,2010-02-01,0,-6.226684371632984e-4
ES,2010-03-01,1,-0.0027615738319042293
ES,2010-04-01,2,-0.00805961505190389
ES,2010-05-01,3,-0.01582452327678574
ES,2010-06-01,4,-0.033814595327747554
ES,2010-07-01,5,-0.04218858429412453
ES,2010-08-01,6,-0.04977923724223121
ES,2010-09-01,7,-0.05908397847458868
ES,2010-10-01,8,-0.06281208273078409
ES,2010-11-01,9,-0.07752564346269963
ES,2010-12-01,10,-0.07938864110075095
ES,2011-01-01,11,-0.08328922569001485
ES,2011-02-01,12,-0.0916918094964565
ES,2011-03-01,13,-0.0869863373360209
ES,2011-04-01,14,-0.08576101034663086
ES,2011-05-01,15,-0.08277692859257613
ES,2011-06-01,16,-0.07888580750493102
ES,2011-07-01,17,-0.07092591450199404
ES,2011-08-01,18,-0.0665939062278289
ES,2011-09-01,19,-0.06965104042863413
ES,2011-10-01,20,-0.07109989189941679
ES,2011-11-01,21,-0.07204991570378017
ES,2011-12-01,22,-0.08023773983414895
ES,2012-01-01,23,-0.08820813232673874
GO,2007-07-01,-31,-0.004891056528363968
GO,2007-08-01,-30,-0.005231322092075885
GO,2007-09-01,-29,-0.007024392680825997
GO,2007-10-01,-28,-0.005552153908811697
GO,2007-11-01,-27,0.008787817519201546
GO,2007-12-01,-26,-0.004006662232024283
GO,2008-01-01,-25,-0.006837502054118261
GO,2008-02-01,-24,0.0018917102253217521
GO,2008-03-01,-23,6.873267998601662e-4
GO,2008-04-01,-22,6.555348198862276e-4
GO,2008-05-01,-21,-0.00757943034309605
GO,2008-06-01,-20,0.0012085191611772572
GO,2008-07-01,-19,0.0017623581874630645
GO,2008-08-01,-18,-0.0016400006956738267
GO,2008-09-01,-17,0.006003679006411744
GO,2008-10-01,-16,0.002158282240562137
GO,2008-11-01,-15,-3.453601200398282e-5
GO,2008-12-01,-14,3.0237294308399498e-5
GO,2009-01-01,-13,0.002735912303041488
GO,2009-02-01,-12,-7.232168603721334e-5
GO,2009-03-01,-11,-5.929146129437513e-4
GO,2009-04-01,-10,0.002437932529885778
GO,2009-05-01,-9,0.0010600849327460082
GO,2009-06-01,-8,-9.8655006911752e-4
GO,2009-07-01,-7,7.699007572607997e-4
GO,2009-08-01,-6,0.0019095325476436997
GO,2009-09-01,-5,-4.613942391760162e-4
GO,2009-10-01,-4,-0.004714759056268392
GO,2009-11-01,-3,0.0015041454614950212
GO,2009-12-01,-2,0.002586320188519231
GO,2010-01-01,-1,-5.867681775679756e-4
GO,2010-02-01,0,0.002894192289341291
GO,2010-03-01,1,0.012215029759119034
GO,2010-04-01,2,0.014355720892944568
GO,2010-05-01,3,0.023366194845298338
GO,2010-06-01,4,0.0329285548021101
GO,2010-07-01,5,0.04033732388221001
GO,2010-08-01,6,0.03743615506463982
GO,2010-09-01,7,0.049636242903400074
GO,2010-10-01,8,0.048440081554650405
GO,2010-11-01,9,0.047476775173302066
GO,2010-12-01,10,0.04244833836627482
GO,2011-01-01,11,0.03339370926633389
GO,2011-02-01,12,0.03810306279718212
GO,2011-03-01,13,0.04240751118811392
GO,2011-04-01,14,0.042751986778051254
GO,2011-05-01,15,0.044766071297976495
GO,2011-06-01,16,0.05452567130887598
GO,2011-07-01,17,0.052401904331458304
GO,2011-08-01,18,0.05790132137480608
GO,2011-09-01,19,0.06274948277891745
GO,2011-10-01,20,0.0710236903857071
GO,2011-11-01,21,0.07206554485185368
GO,2011-12-01,22,0.07547000761001943
GO,2012-01-01,23,0.0779744264306137
MG,2007-07-01,-31,-0.0066725939154546055
MG,2007-08-01,-30,0.0024114463279758525
MG,2007-09-01,-29,-0.00440314930329766
MG,2007-10-01,-28,0.003843228825576084
MG,2007-11-01,-27,0.008782763756628675
MG,2007-12-01,-26,5.869736302406281e-4
MG,2008-01-01,-25,-6.434664936012524e-4
MG,2008-02-01,-24,5.264194444682957e-4
MG,2008-03-01,-23,4.0629047254991946e-4
MG,2008-04-01,-22,-0.0015477275585471517
MG,2008-05-01,-21,-0.006254497267918602
MG,2008-06-01,-20,3.338385896523022e-5
MG,2008-07-01,-19,5.94645397270277e-4
MG,2008-08-01,-18,-0.002104620664121981
MG,2008-09-01,-17,-0.004204052999606134
MG,2008-10-01,-16,1.6259619880454323e-4
MG,2008-11-01,-15,-0.0016685380731500388
MG,2008-12-01,-14,-0.0023565237611826717
MG,2009-01-01,-13,-0.00265243962226247
MG,2009-02-01,-12,-0.0011794087557257527
MG,2009-03-01,-11,-0.0010394151160975085
MG,2009-04-01,-10,0.0013038341809936682
MG,2009-05-01,-9,0.001807796435979725
MG,2009-06-01,-8,5.1004264632315e-4
MG,2009-07-01,-7,-0.0017310889919297523
MG,2009-08-01,-6,9.219001002085392e-4
MG,2009-09-01,-5,0.001260178885503116
MG,2009-10-01,-4,0.0015367759501065947
MG,2009-11-01,-3,0.0011917663824165814
MG,2009-12-01,-2,-4.659195285521278e-4
MG,2010-01-01,-1,0.002007209494053974
MG,2010-02-01,0,0.0011717989547221919
MG,2010-03-01,1,0.0021438999564322714
MG,2010-04-01,2,-0.0076514101745512875
MG,2010-05-01,3,-0.009297599169777016
MG,2010-06-01,4,-0.005137240230753903
MG,2010-07-01,5,-0.0072018061996601546
MG,2010-08-01,6,-0.002032496321028532
MG,2010-09-01,7,-0.0035508725760946547
MG,2010-10-01,8,-0.0027618879817126185
MG,2010-11-01,9,0.001026747420180385
MG,2010-12-01,10,0.004714375213313637
MG,2011-01-01,11,0.010422034870145147
MG,2011-02-01,12,0.018452523635706264
MG,2011-03-01,13,0.022817533057610362
MG,2011-04-01,14,0.027276531935715553
MG,2011-05-01,15,0.029330808088016802
MG,2011-06-01,16,0.025532152264461594
MG,2011-07-01,17,0.015423211051851737
MG,2011-08-01,18,0.007854589245326338
MG,2011-09-01,19,0.0037730177840176182
MG,2011-10-01,20,0.006518738973903204
MG,2011-11-01,21,0.0064218754757758845
MG,2011-12-01,22,0.017386583761700436
MG,2012-01-01,23,0.014753760391299053
MS,2007-07-01,-31,0.006447694590983488
MS,2007-08-01,-30,-0.0013896216087663227
MS,2007-09-01,-29,0.004220342380092834
MS,2007-10-01,-28,-0.003362558887234357
MS,2007-11-01,-27,-0.007497765998439654
MS,2007-12-01,-26,-0.0015224589398648014
MS,2008-01-01,-25,0.0020793486441195164
MS,2008-02-01,-24,-8.824045892610322e-4
MS,2008-03-01,-23,-0.005239693797864486
MS,2008-04-01,-22,-0.0038391298870856794
MS,2008-05-01,-21,0.007758555111548215
MS,2008-06-01,-20,-0.005105394944886488
MS,2008-07-01,-19,-0.004659429012597194
MS,2008-08-01,-18,-0.00529841087957017
MS,2008-09-01,-17,-0.004099022203099878
MS,2008-10-01,-16,1.7510088907712884e-5
MS,2008-11-01,-15,-0.004870150692796393
MS,2008-12-01,-14,-0.011212933307098716
MS,2009-01-01,-13,8.071050609697039e-4
MS,2009-02-01,-12,0.005742880768972114
MS,2009-03-01,-11,6.389985569192902e-4
MS,2009-04-01,-10,-0.0035662381393253284
MS,2009-05-01,-9,-0.005765883032594843
