series_block,target_path,status,bytes,error_message
new_caged_2024_04,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202404.7z,downloaded,54334120,
new_caged_2024_05,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202405.7z,downloaded,52013075,
new_caged_2024_06,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202406.7z,already_present,50057151,
new_caged_2024_07,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202407.7z,already_present,53309299,
new_caged_2024_08,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202408.7z,already_present,53870229,
new_caged_2024_09,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202409.7z,already_present,51790288,
new_caged_2024_10,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202410.7z,already_present,54686311,
new_caged_2024_11,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202411.7z,downloaded,48630492,
new_caged_2024_12,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202412.7z,already_present,45136741,
new_caged_2025_01,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202501.7z,already_present,55719173,
new_caged_2025_02,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202502.7z,already_present,60011810,
new_caged_2025_03,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202503.7z,downloaded,55662990,
new_caged_2025_04,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202504.7z,already_present,54571341,
new_caged_2025_05,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202505.7z,already_present,53785854,
new_caged_2025_06,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202506.7z,already_present,50842824,
new_caged_2025_07,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202507.7z,downloaded,54073599,
new_caged_2025_08,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202508.7z,already_present,53665905,
new_caged_2025_09,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202509.7z,downloaded,53975596,
new_caged_2025_10,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202510.7z,already_present,54992736,
new_caged_2025_11,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202511.7z,already_present,47598690,
new_caged_2025_12,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202512.7z,downloaded,44879645,
new_caged_2026_01,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202601.7z,already_present,52965302,
new_caged_2026_02,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202602.7z,already_present,55543328,
new_caged_2026_03,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202603.7z,already_present,59393453,
