competencia,year,month,uf,formal_hiring_balance,salvaged_records,source_series,source_archive
200808,2008,08,32,3520,64290,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,33,17565,218189,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,35,83591,865751,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,41,4211,71655,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200906,2009,06,11,2972,19518,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,12,512,4190,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,13,984,25602,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,14,-7,2085,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,15,1057,41595,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,16,-176,3456,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,17,203,10385,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,21,-1163,24103,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,22,2236,12636,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,23,5752,58962,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,24,736,22554,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,25,844,15148,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,26,9790,63970,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,27,26,13344,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,28,730,13590,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,29,6119,99217,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,31,45596,348284,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,32,-6651,67787,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,33,5455,219765,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200906,2009,06,35,19200,601912,old_caged_complete_salvaged_partial,CAGEDEST_062009.7z
200908,2009,08,11,3401,20239,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,12,841,4155,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,13,6549,30381,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,14,144,2244,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,15,7204,45388,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,16,343,3591,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,17,191,9619,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,20,60267,1,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,21,1998,26800,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,22,2765,13867,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,23,13790,64744,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,24,6776,29128,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,25,6799,21723,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,26,18990,77368,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,27,1278,14142,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,28,2270,14274,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,29,11085,106713,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,31,8613,350447,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,32,3648,58380,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,33,15841,218315,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200908,2009,08,35,59841,549035,old_caged_complete_salvaged_partial,CAGEDEST_082009.7z
200910,2009,10,11,2893,20725,old_caged_complete_salvaged_partial,CAGEDEST_102009.7z
200910,2009,10,12,139,3683,old_caged_complete_salvaged_partial,CAGEDEST_102009.7z
200910,2009,10,13,4698,31240,old_caged_complete_salvaged_partial,CAGEDEST_102009.7z
200910,2009,10,14,374,2444,old_caged_complete_salvaged_partial,CAGEDEST_102009.7z
200910,2009,10,15,5628,43274,old_caged_complete_salvaged_partial,CAGEDEST_102009.7z
200910,2009,10,16,114,3920,old_caged_complete_salvaged_partial,CAGEDEST_102009.7z
200910,2009,10,17,-48,564,old_caged_complete_salvaged_partial,CAGEDEST_102009.7z
200911,2009,11,11,1965,19777,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,12,94,4152,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,13,2121,26943,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,14,211,1983,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,15,3681,41807,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,16,223,3185,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,17,294,9226,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,21,2730,22982,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,22,2791,13695,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,23,12296,60416,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,24,4345,24057,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,25,2871,15409,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,26,11769,71195,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,27,2100,15172,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,28,2991,13735,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,29,13241,102069,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,31,24979,306789,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
200911,2009,11,32,1263,19167,old_caged_complete_salvaged_partial,CAGEDEST_112009.7z
201005,2010,05,27,1196,16022,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,28,892,15538,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,29,16301,121461,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,31,60873,391145,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,32,7754,80542,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,33,22250,249788,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,35,6571,67621,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,41,19131,221019,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,42,5438,172848,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,43,9511,215513,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,50,2671,40993,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,51,664,59222,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,52,10254,103162,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201005,2010,05,53,3085,53573,old_caged_complete_salvaged_partial,CAGEDEST_052010.7z
201006,2010,06,32,-1649,76355,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201006,2010,06,33,16337,243767,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201006,2010,06,35,70265,961119,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201006,2010,06,41,10196,218492,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201006,2010,06,42,6099,165679,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201006,2010,06,43,7865,213859,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201006,2010,06,50,3177,40079,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201006,2010,06,51,5287,58251,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201006,2010,06,52,8073,99699,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201006,2010,06,53,757,50019,old_caged_complete_salvaged_partial,CAGEDEST_062010.7z
201007,2010,07,12,379,5069,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,13,2444,32386,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,14,-120,2872,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,15,6093,47373,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,16,-23,3951,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,17,1112,12044,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,21,1088,9178,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,25,2429,20337,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,26,9946,77418,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,27,883,15433,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,28,2228,17084,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,29,8137,121989,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,31,13354,389870,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,32,968,68564,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,33,14086,254030,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,35,62497,937883,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,41,12723,231191,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,42,5194,170194,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,43,9669,212209,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,50,1324,40484,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,51,2916,58554,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,52,6458,102768,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201007,2010,07,53,-78,52366,old_caged_complete_salvaged_partial,CAGEDEST_072010.7z
201010,2010,10,33,19571,250925,old_caged_complete_salvaged_partial,CAGEDEST_102010.7z
201010,2010,10,35,7157,344177,old_caged_complete_salvaged_partial,CAGEDEST_102010.7z
201010,2010,10,50,1822,38780,old_caged_complete_salvaged_partial,CAGEDEST_102010.7z
201010,2010,10,51,476,61256,old_caged_complete_salvaged_partial,CAGEDEST_102010.7z
201010,2010,10,52,-2151,108305,old_caged_complete_salvaged_partial,CAGEDEST_102010.7z
201010,2010,10,53,2863,50583,old_caged_complete_salvaged_partial,CAGEDEST_102010.7z
201012,2010,12,00,20,1,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,11,-3078,21862,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,12,-995,4669,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,13,-7187,31029,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,14,-158,2478,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,15,-5628,46186,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,16,-357,3359,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,17,-2579,10751,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,21,-6407,30331,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,22,-1922,14566,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,23,-356,60330,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,24,-3775,27509,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,25,-1555,17829,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,26,-4599,84045,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,27,-250,17230,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,28,-1574,15916,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,29,-17303,115065,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,31,-50797,337495,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,32,-7651,62649,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,33,-10103,249957,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,35,-159579,916751,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201012,2010,12,41,-1389,17995,old_caged_complete_salvaged_partial,CAGEDEST_122010.7z
201103,2011,03,11,1987,27151,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,12,-841,5385,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,13,3854,34668,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,14,-123,3587,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,15,-1457,52301,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,16,-79,5277,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,17,-510,11384,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,21,-3816,31006,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,22,-2114,17246,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,23,-583,75711,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,24,-1048,28744,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,25,-3126,24330,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,26,-7205,93227,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,27,-15786,33506,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,28,-729,18523,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,29,2758,122898,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,31,11576,392906,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,32,-204,68638,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,33,2835,271613,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201103,2011,03,35,29485,562581,old_caged_complete_salvaged_partial,CAGEDEST_032011.7z
201205,2012,05,31,32684,412572,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,32,4538,84022,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,33,12030,291376,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,35,28207,588225,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,41,11738,249744,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,42,1507,191015,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,43,-3332,242700,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,50,3222,44664,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,51,2141,70237,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,52,8013,117105,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201205,2012,05,53,97,59261,old_caged_complete_salvaged_partial,CAGEDEST_052012.7z
201206,2012,06,15,6050,62138,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,16,243,5517,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,17,187,11869,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,21,1865,34773,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,22,1588,17752,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,23,3926,78756,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,24,1631,30101,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,25,1506,21512,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,26,10485,95353,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,27,97,19539,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,28,1097,18643,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,29,241,127679,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,31,38484,419806,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,32,-5406,81256,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,33,5179,120183,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201206,2012,06,53,253,61019,old_caged_complete_salvaged_partial,CAGEDEST_062012.7z
201208,2012,08,11,821,26723,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,12,458,5218,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,13,1247,36371,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,14,381,3407,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,15,2228,61018,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,16,1016,5914,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,17,319,13403,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,21,1434,36050,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,22,1083,18415,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,23,5097,85529,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,24,2699,33361,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,25,7851,32041,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,26,9218,101966,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,27,25,20737,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,28,1769,20639,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,29,442,134778,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,31,-2787,430617,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,32,-501,76395,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,33,9628,305932,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201208,2012,08,35,17415,796279,old_caged_complete_salvaged_partial,CAGEDEST_082012.7z
201210,2012,10,26,3600,102852,old_caged_complete_salvaged_partial,CAGEDEST_102012.7z
201210,2012,10,27,5419,22471,old_caged_complete_salvaged_partial,CAGEDEST_102012.7z
201210,2012,10,28,3139,22945,old_caged_complete_salvaged_partial,CAGEDEST_102012.7z
201210,2012,10,29,-4886,130568,old_caged_complete_salvaged_partial,CAGEDEST_102012.7z
201210,2012,10,31,-2279,100635,old_caged_complete_salvaged_partial,CAGEDEST_102012.7z
201210,2012,10,53,-620,54340,old_caged_complete_salvaged_partial,CAGEDEST_102012.7z
201301,2013,01,11,-1042,24660,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,12,-503,5323,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,13,14,34372,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,14,-1051,4635,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,15,-3006,61102,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,16,-29,5797,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,17,122,11488,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,21,-3233,34277,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,22,-1028,17780,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,23,-4700,87890,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,24,-3265,34179,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,25,-2698,28520,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201301,2013,01,26,-4172,25424,old_caged_complete_salvaged_partial,CAGEDEST_012013.7z
201310,2013,10,11,-547,25337,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,12,-9,4725,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,13,4440,38768,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,14,-145,2961,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,15,2486,66118,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,16,291,6241,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,17,795,11837,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,21,3563,33879,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,22,2604,17684,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,23,6789,89407,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,24,788,32806,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,25,2739,27213,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,26,5324,110044,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,27,15953,33445,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,28,4993,24661,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,29,-2419,142727,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,31,-6296,413596,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,32,2545,75199,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,33,25363,25363,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201310,2013,10,53,315,61335,old_caged_complete_salvaged_partial,CAGEDEST_102013.7z
201403,2014,03,12,-872,4278,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,13,-472,33490,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,14,253,3775,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,15,-1137,60539,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,16,-1306,6024,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,17,4,12014,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,21,-2637,32463,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,22,983,18275,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,23,-2000,79294,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,24,-1297,30915,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,25,-3694,28308,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,26,-7883,91701,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
201403,2014,03,27,-10132,25884,old_caged_complete_salvaged_partial,CAGEDEST_032014.7z
