nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,mes_codigo,mes,downloaded_at
1,Brasil,30,Número-índice,3.703168e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198409,setembro 1984,2026-05-13
1,Brasil,30,Número-índice,4.089675e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198410,outubro 1984,2026-05-13
1,Brasil,30,Número-índice,4.520168e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198411,novembro 1984,2026-05-13
1,Brasil,30,Número-índice,5.061559e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198412,dezembro 1984,2026-05-13
1,Brasil,30,Número-índice,5.656761e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198501,janeiro 1985,2026-05-13
1,Brasil,30,Número-índice,6.271382e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198502,fevereiro 1985,2026-05-13
1,Brasil,30,Número-índice,6.908698e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198503,março 1985,2026-05-13
1,Brasil,30,Número-índice,7.474889e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198504,abril 1985,2026-05-13
1,Brasil,30,Número-índice,8.01277e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198505,maio 1985,2026-05-13
1,Brasil,30,Número-índice,8.693369e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198506,junho 1985,2026-05-13
1,Brasil,30,Número-índice,9.589916e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198507,julho 1985,2026-05-13
1,Brasil,30,Número-índice,1.0745459e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198508,agosto 1985,2026-05-13
1,Brasil,30,Número-índice,1.1940075e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198509,setembro 1985,2026-05-13
1,Brasil,30,Número-índice,1.3207687e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198510,outubro 1985,2026-05-13
1,Brasil,30,Número-índice,1.5053189e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198511,novembro 1985,2026-05-13
1,Brasil,30,Número-índice,1.7322163e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198512,dezembro 1985,2026-05-13
1,Brasil,30,Número-índice,1.9811765e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198601,janeiro 1986,2026-05-13
1,Brasil,30,Número-índice,2.233108e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198602,fevereiro 1986,2026-05-13
1,Brasil,30,Número-índice,2.3396314e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198603,março 1986,2026-05-13
1,Brasil,30,Número-índice,2.3578806e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198604,abril 1986,2026-05-13
1,Brasil,30,Número-índice,2.3908694e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198605,maio 1986,2026-05-13
1,Brasil,30,Número-índice,2.4212846e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198606,junho 1986,2026-05-13
1,Brasil,30,Número-índice,2.462696e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198607,julho 1986,2026-05-13
1,Brasil,30,Número-índice,2.5501983e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198608,agosto 1986,2026-05-13
1,Brasil,30,Número-índice,2.5939494e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198609,setembro 1986,2026-05-13
1,Brasil,30,Número-índice,2.6433156e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198610,outubro 1986,2026-05-13
1,Brasil,30,Número-índice,2.7874369e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198611,novembro 1986,2026-05-13
1,Brasil,30,Número-índice,3.1121777e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198612,dezembro 1986,2026-05-13
1,Brasil,30,Número-índice,3.523251e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198701,janeiro 1987,2026-05-13
1,Brasil,30,Número-índice,3.9684829e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198702,fevereiro 1987,2026-05-13
1,Brasil,30,Número-índice,4.6181985e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198703,março 1987,2026-05-13
1,Brasil,30,Número-índice,5.5002395e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198704,abril 1987,2026-05-13
1,Brasil,30,Número-índice,6.6801157e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198705,maio 1987,2026-05-13
1,Brasil,30,Número-índice,7.9968603e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198706,junho 1987,2026-05-13
1,Brasil,30,Número-índice,8.7333762e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198707,julho 1987,2026-05-13
1,Brasil,30,Número-índice,9.1587212e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198708,agosto 1987,2026-05-13
1,Brasil,30,Número-índice,9.871373e-6,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198709,setembro 1987,2026-05-13
1,Brasil,30,Número-índice,1.09789545e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198710,outubro 1987,2026-05-13
1,Brasil,30,Número-índice,1.26344777e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198711,novembro 1987,2026-05-13
1,Brasil,30,Número-índice,1.44221901e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198712,dezembro 1987,2026-05-13
1,Brasil,30,Número-índice,1.7146457e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198801,janeiro 1988,2026-05-13
1,Brasil,30,Número-índice,1.98384369e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198802,fevereiro 1988,2026-05-13
1,Brasil,30,Número-índice,2.33301029e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198803,março 1988,2026-05-13
1,Brasil,30,Número-índice,2.7830389e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198804,abril 1988,2026-05-13
1,Brasil,30,Número-índice,3.26783343e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198805,maio 1988,2026-05-13
1,Brasil,30,Número-índice,3.98675537e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198806,junho 1988,2026-05-13
1,Brasil,30,Número-índice,4.86025677e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198807,julho 1988,2026-05-13
1,Brasil,30,Número-índice,5.90958147e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198808,agosto 1988,2026-05-13
1,Brasil,30,Número-índice,7.53176493e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198809,setembro 1988,2026-05-13
1,Brasil,30,Número-índice,9.46139936e-5,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198810,outubro 1988,2026-05-13
1,Brasil,30,Número-índice,1.210492553e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198811,novembro 1988,2026-05-13
1,Brasil,30,Número-índice,1.557904426e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198812,dezembro 1988,2026-05-13
1,Brasil,30,Número-índice,2.141963e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198901,janeiro 1989,2026-05-13
1,Brasil,30,Número-índice,2.501384201e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198902,fevereiro 1989,2026-05-13
1,Brasil,30,Número-índice,2.671978428e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198903,março 1989,2026-05-13
1,Brasil,30,Número-índice,2.894554586e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198904,abril 1989,2026-05-13
1,Brasil,30,Número-índice,3.413257896e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198905,maio 1989,2026-05-13
1,Brasil,30,Número-índice,4.391155989e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198906,junho 1989,2026-05-13
1,Brasil,30,Número-índice,5.609261703e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198907,julho 1989,2026-05-13
1,Brasil,30,Número-índice,7.500144816e-4,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198908,agosto 1989,2026-05-13
