nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,ano_codigo,ano,contribuicao_para_instituto_de_previdencia_codigo,contribuicao_para_instituto_de_previdencia,sexo_codigo,sexo,grupo_de_idade_codigo,grupo_de_idade,downloaded_at
3,Unidade da Federação,1572,Mil pessoas,,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,99324,No trabalho principal - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,477,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,99325,Em qualquer trabalho - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,339,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,99326,Em qualquer trabalho - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,99327,Em qualquer trabalho - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,166,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,73,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,99322,No trabalho principal - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,93,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,99323,No trabalho principal - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,99324,No trabalho principal - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,73,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,99325,Em qualquer trabalho - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,92,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,99326,Em qualquer trabalho - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,99327,Em qualquer trabalho - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,181,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,72,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,99322,No trabalho principal - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,109,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,99323,No trabalho principal - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,99324,No trabalho principal - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,73,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,99325,Em qualquer trabalho - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,109,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,99326,Em qualquer trabalho - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,99327,Em qualquer trabalho - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,176,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,73,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,99322,No trabalho principal - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,102,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,99323,No trabalho principal - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,99324,No trabalho principal - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,74,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,99325,Em qualquer trabalho - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,102,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,99326,Em qualquer trabalho - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,99327,Em qualquer trabalho - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,290,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,86,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,99322,No trabalho principal - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,205,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,99323,No trabalho principal - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,99324,No trabalho principal - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,87,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,99325,Em qualquer trabalho - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,204,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,99326,Em qualquer trabalho - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,99327,Em qualquer trabalho - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,285,12,Acre,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2005,2005,0,Total,0,Total,0,Total,2026-05-27
