nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,ano_codigo,ano,contribuicao_para_instituto_de_previdencia_codigo,contribuicao_para_instituto_de_previdencia,sexo_codigo,sexo,grupo_de_idade_codigo,grupo_de_idade,downloaded_at
3,Unidade da Federação,1572,Mil pessoas,372,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2013,2013,99323,No trabalho principal - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2013,2013,99324,No trabalho principal - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,469,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2013,2013,99325,Em qualquer trabalho - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,371,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2013,2013,99326,Em qualquer trabalho - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2013,2013,99327,Em qualquer trabalho - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,869,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,488,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,99322,No trabalho principal - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,381,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,99323,No trabalho principal - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,99324,No trabalho principal - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,489,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,99325,Em qualquer trabalho - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,380,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,99326,Em qualquer trabalho - não contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,99327,Em qualquer trabalho - sem declaração,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,816,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,477,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,99322,No trabalho principal - contribuintes,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,339,11,Rondônia,696,Pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,99323,No trabalho principal - não contribuintes,0,Total,0,Total,2026-05-27
