nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,ano_codigo,ano,condicao_de_ocupacao_codigo,condicao_de_ocupacao,sexo_codigo,sexo,grupo_de_idade_codigo,grupo_de_idade,downloaded_at
3,Unidade da Federação,1572,Mil pessoas,14,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,11,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,13,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,21,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,26,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,19,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,13,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,20,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,21,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,14,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,22,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2012,2012,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,26,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2013,2013,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,30,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2014,2014,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,25,12,Acre,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2015,2015,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,93,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,118,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,162,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,150,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,161,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,128,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,157,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,124,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,164,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,133,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,130,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2012,2012,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,150,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2013,2013,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,170,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2014,2014,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,216,13,Amazonas,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2015,2015,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,10,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,6,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,15,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,13,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,25,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,16,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,19,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,12,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,19,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,18,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,20,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2012,2012,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,16,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2013,2013,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,20,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2014,2014,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,26,14,Roraima,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2015,2015,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,194,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,207,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,206,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,204,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,235,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,236,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,232,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,182,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,289,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,269,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,220,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2012,2012,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,275,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2013,2013,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,283,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2014,2014,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,300,15,Pará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2015,2015,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,32,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,42,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,25,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,31,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,27,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,15,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,41,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,44,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,37,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,39,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,31,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2012,2012,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,40,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2013,2013,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,33,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2014,2014,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,36,16,Amapá,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2015,2015,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,38,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,47,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,45,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,30,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,41,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,41,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,40,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,39,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,50,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,46,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,40,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2012,2012,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,44,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2013,2013,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,42,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2014,2014,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,66,17,Tocantins,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2015,2015,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,191,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,149,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,167,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,199,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,193,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,213,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,203,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,163,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,216,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,196,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,164,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2012,2012,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,194,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2013,2013,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,210,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2014,2014,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,213,21,Maranhão,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2015,2015,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,76,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,74,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,84,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,65,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,94,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,67,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,62,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,69,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,74,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,96,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,82,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2012,2012,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,89,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2013,2013,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,78,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2014,2014,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,126,22,Piauí,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2015,2015,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,262,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,295,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,315,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,305,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,325,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,314,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,287,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,271,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,303,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,215,23,Ceará,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
