nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,ano_codigo,ano,variavel_codigo,variavel,downloaded_at
3,Unidade da Federação,45,Pessoas,782295,16,Amapá,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,797722,16,Amapá,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,829494,16,Amapá,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,845731,16,Amapá,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,861773,16,Amapá,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,877613,16,Amapá,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,802837,16,Amapá,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,806517,16,Amapá,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1184895,17,Tocantins,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1207014,17,Tocantins,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1230181,17,Tocantins,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1262644,17,Tocantins,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1305728,17,Tocantins,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1332441,17,Tocantins,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1280513,17,Tocantins,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1292051,17,Tocantins,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1400892,17,Tocantins,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1417694,17,Tocantins,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1478164,17,Tocantins,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1496880,17,Tocantins,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1515126,17,Tocantins,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1532902,17,Tocantins,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1550194,17,Tocantins,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1555229,17,Tocantins,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1572866,17,Tocantins,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1590248,17,Tocantins,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1607363,17,Tocantins,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1577342,17,Tocantins,2024,2024,9324,População residente estimada,2026-06-03
