dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
MG,2018-08-01,7,4,post,39.09563303803725
MG,2018-10-01,8,5,post,45.02965325749244
MG,2018-12-01,9,6,post,62.753420297752655
MG,2019-02-01,10,7,post,116.08049742376124
MG,2019-04-01,11,8,post,69.48902019679008
MG,2019-06-01,12,9,post,70.88618217353053
MG,2019-08-01,13,10,post,90.02270954451933
MG,2019-10-01,14,11,post,63.62016363040402
MG,2019-12-01,15,12,post,63.73858355126981
MS,2015-08-01,-11,-11,pre,87.47636021035294
MS,2015-10-01,-10,-10,pre,40.67711217388933
MS,2015-12-01,-9,-9,pre,-19.202190991854877
MS,2016-02-01,-8,-8,pre,15.14029849688336
MS,2016-04-01,-7,-7,pre,-32.489666417145486
MS,2016-06-01,-6,-6,pre,-22.169443075872323
MS,2016-08-01,-5,-5,pre,18.0605641679565
MS,2016-10-01,-4,-4,pre,-45.773656614955485
MS,2016-12-01,-3,-3,pre,-16.002180671627116
MS,2017-02-01,-2,-2,pre,-9.221910260125469
MS,2017-04-01,-1,-1,pre,-11.180226661073334
MS,2018-02-01,4,1,post,11.937981855866838
MS,2018-04-01,5,2,post,-10.096347581018335
MS,2018-06-01,6,3,post,-34.17754785983891
MS,2018-08-01,7,4,post,39.594007488695866
MS,2018-10-01,8,5,post,45.45139399839718
MS,2018-12-01,9,6,post,63.545850542011976
MS,2019-02-01,10,7,post,116.80373144611985
MS,2019-04-01,11,8,post,70.12632274139469
MS,2019-06-01,12,9,post,71.62845385295736
MS,2019-08-01,13,10,post,90.44273560833767
MS,2019-10-01,14,11,post,64.00704378414889
MS,2019-12-01,15,12,post,64.81836857001849
MT,2015-08-01,-11,-11,pre,87.82783889186044
MT,2015-10-01,-10,-10,pre,41.00758392271655
MT,2015-12-01,-9,-9,pre,-18.94139749468104
MT,2016-02-01,-8,-8,pre,15.275603366203427
MT,2016-04-01,-7,-7,pre,-32.31949969020559
MT,2016-06-01,-6,-6,pre,-21.969428520356473
