period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,placebo_state
2020-09-01,post,18855,16656.695923719766,2198.304076280234,formal_hiring_balance,AL,AL
2020-10-01,post,4593,11342.10586217007,-6749.10586217007,formal_hiring_balance,AL,AL
2020-11-01,post,3555,11561.847853459838,-8006.847853459838,formal_hiring_balance,AL,AL
2020-12-01,post,799,-3443.2984097362296,4242.29840973623,formal_hiring_balance,AL,AL
2016-01-01,pre,-370,-911.1639399641508,541.1639399641508,formal_hiring_balance,AP,AP
2016-02-01,pre,-1002,-1641.1695600128662,639.1695600128662,formal_hiring_balance,AP,AP
2016-03-01,pre,-521,-1340.1174249421128,819.1174249421128,formal_hiring_balance,AP,AP
2016-04-01,pre,50,-671.9168074047559,721.9168074047559,formal_hiring_balance,AP,AP
2016-05-01,pre,-918,133.65435642501782,-1051.6543564250178,formal_hiring_balance,AP,AP
2016-06-01,pre,54,-844.238310596472,898.238310596472,formal_hiring_balance,AP,AP
2016-07-01,pre,-405,-119.8124679705344,-285.1875320294656,formal_hiring_balance,AP,AP
2016-08-01,pre,-60,-487.96405516647286,427.96405516647286,formal_hiring_balance,AP,AP
2016-09-01,pre,-294,-304.8085195217395,10.808519521739527,formal_hiring_balance,AP,AP
2016-10-01,pre,116,-572.071462699831,688.071462699831,formal_hiring_balance,AP,AP
2016-11-01,pre,-152,-1334.076165846289,1182.076165846289,formal_hiring_balance,AP,AP
2016-12-01,pre,-360,-2173.557739490536,1813.5577394905358,formal_hiring_balance,AP,AP
2017-01-01,pre,-331,-136.94834018244276,-194.05165981755724,formal_hiring_balance,AP,AP
2017-02-01,pre,-11,-764.0299601619886,753.0299601619886,formal_hiring_balance,AP,AP
2017-03-01,pre,-50,-898.313314270007,848.313314270007,formal_hiring_balance,AP,AP
2017-04-01,pre,216,206.85429091826234,9.145709081737664,formal_hiring_balance,AP,AP
2017-05-01,pre,-49,804.7599018603194,-853.7599018603194,formal_hiring_balance,AP,AP
2017-06-01,pre,93,103.50648144709784,-10.50648144709784,formal_hiring_balance,AP,AP
2017-07-01,pre,203,88.56783073226202,114.43216926773798,formal_hiring_balance,AP,AP
2017-08-01,pre,-40,-74.44064812731749,34.44064812731749,formal_hiring_balance,AP,AP
2017-09-01,pre,-222,321.65711155751694,-543.6571115575169,formal_hiring_balance,AP,AP
2017-10-01,pre,-49,278.17726636538134,-327.17726636538134,formal_hiring_balance,AP,AP
2017-11-01,pre,-275,-267.5839249891042,-7.416075010895781,formal_hiring_balance,AP,AP
2017-12-01,pre,-410,-1399.2215242636105,989.2215242636105,formal_hiring_balance,AP,AP
2018-01-01,pre,345,159.40822691565512,185.59177308434488,formal_hiring_balance,AP,AP
2018-02-01,pre,101,-404.27414434308577,505.27414434308577,formal_hiring_balance,AP,AP
2018-03-01,pre,-182,205.10941001384458,-387.1094100138446,formal_hiring_balance,AP,AP
2018-04-01,pre,410,656.2033522369361,-246.2033522369361,formal_hiring_balance,AP,AP
2018-05-01,pre,-111,792.6383413927691,-903.6383413927691,formal_hiring_balance,AP,AP
2018-06-01,pre,-536,142.9610854372711,-678.9610854372711,formal_hiring_balance,AP,AP
2018-07-01,pre,542,396.20171883298264,145.79828116701736,formal_hiring_balance,AP,AP
2018-08-01,pre,549,-57.518171432097354,606.5181714320973,formal_hiring_balance,AP,AP
2018-09-01,pre,534,1102.8369579806672,-568.8369579806672,formal_hiring_balance,AP,AP
