state_abbrev,period_date,year,month,va_icms_total,va_receita_tributaria_total,va_icms_terciario_varejista,va_icms_secundario,va_icms_terciario,va_icms_energia,va_icms_combustiveis,fpe,iof_est,retail_volume_index,ipca_deflator_factor,population,va_icms_total_real_pc,va_receita_tributaria_total_real_pc,va_icms_terciario_varejista_real_pc,va_icms_secundario_real_pc,va_icms_terciario_real_pc,va_icms_energia_real_pc,va_icms_combustiveis_real_pc,fpe_real_pc,iof_est_real_pc,va_icms_total_real_pc_sa,va_receita_tributaria_total_real_pc_sa,va_icms_terciario_varejista_real_pc_sa,va_icms_secundario_real_pc_sa,va_icms_terciario_real_pc_sa,va_icms_energia_real_pc_sa,va_icms_combustiveis_real_pc_sa,fpe_real_pc_sa,iof_est_real_pc_sa,retail_volume_index_sa,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,pre_instability_clean,instability_start_date,removal_date
AC,2000-03-01,2000,3,8701717,14373446,0,55111,5409838,0,3017173,37170720.64,0,25.34497,1.1227735487933368,557226,17.53338443770626,28.961543384209264,0,0.11104502131549782,10.900465896525015,0,6.079404113471802,74.89654453341828,0,19.2368175723878,74.3645689394598,0,0.296839554303149,59.0468919133704,1.01286110185072,5.66443474114728,79.2842186477665,0,97.96923514553352,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-04-01,2000,4,8181064,13244101,0,73705,4406611,0,3511631,38553999.53,0,27.32904,1.1180754306999845,557226,16.41532637634306,26.574323398063076,0,0.14788927584093772,8.841876530801308,0,7.046096813114279,77.35870119074085,0,18.0332143960485,53.7812925969591,0,0.231420175039522,35.7034377759627,0.891725099190003,6.4092649469384,70.092911331556,0,110.18053715675701,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-05-01,2000,5,8249353,13418632,0,56103,4526940,0,3638598,36876301.88,0,25.72898,1.117964380381275,557226,16.550704409326578,26.92184609017589,0,0.11255963582555494,9.082414804986145,0,7.300131290583258,73.98504732734483,0,16.5470402580026,38.7469943579334,0,0.119909102226475,18.3344983830666,0.744812142497668,7.12774584922997,64.4888574891505,0,97.82229205867277,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-06-01,2000,6,8569153,13406888,0,59848,4650622,0,3657099,29911563.59,0,28.35308,1.1153955729521499,557226,17.152816487654263,26.83647841677399,0,0.11979734299914266,9.309119083233506,0,7.320390711215439,59.87377762050356,0,18.1678113625449,21.6827742056882,0,0.118506041889978,4.86573443470358,0.286490669141661,7.19783494081642,69.2189069734011,0,106.97326015644836,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-07-01,2000,7,5358283,9835724,0,0,0,0,0,28457413.67,0,28.9291,1.0977191549536152,557226,10.555663028577852,19.376092712179602,0,0,0,0,0,56.06028449138744,0,11.1531143132417,5.49355156343442,0,-0.0771947819612185,-11.7907030595372,-0.0257497994964802,-0.045419778841426,65.7835692699455,0,104.98112867551657,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-08-01,2000,8,10989325,5226842,0,0,0,0,0,31728670.65,0,27.26504,1.0835263610711687,557226,21.368750431384072,10.163598059232609,0,0,0,0,0,61.696423086898484,0,19.6832953288159,-7.20364231650202,0,-0.12587890023924,-18.626105824727,-0.315560811286741,0.263336500121342,66.0455813449103,0,100.98406242241111,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-09-01,2000,9,9184680,5147013,0,0,0,0,0,31993046.91,0,25.98499,1.0810418204846541,557226,17.818664577333063,9.985421182030597,0,0,0,0,0,62.06785339240692,0,17.5237478544058,-7.34571215975331,0,-0.13257658127756,-21.148771536147,-0.589628950704805,0.648502666121259,66.4739862085415,0,99.16260907817104,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-10-01,2000,10,11809919,16736804,0,0,0,0,0,33826567.93,0,26.305,1.0795319674391282,557226,22.87973837072703,32.42475216655912,0,0,0,0,0,65.53330503096808,0,22.0273745999646,11.9309082733601,0,-0.118261001504109,-18.1891676039159,-0.717635795837339,0.201018266864546,68.6474709190007,0,98.42267711524075,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-11-01,2000,11,11201774,15895132,0,0,0,0,0,36714790.95,0,24.96095,1.0760874760994266,557226,21.632315634044677,30.69589803086581,0,0,0,0,0,70.90180057804835,0,19.7250278268397,12.956128648127,0,-0.0627282549748417,-12.1372240586707,-0.660986055280155,0.510671500594951,72.0101740002972,0,101.76301932572767,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-12-01,2000,12,11097276,19043494,0,0,0,0,0,41434856.52,0,34.36931,1.0697784932312426,557226,21.30486947531384,36.56024721958094,0,0,0,0,0,79.54782866416558,0,19.436932995566,25.5874407531144,0,-0.1218108926363,-3.78971826420246,-0.542850598587186,0.390277553442057,74.2004658029416,0,99.87847040901369,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-01-01,2001,1,9989319,5165790,0,0,0,0,0,48118329.89,0,25.79298,1.063712663977272,574355,18.50034408128906,9.567107873087467,0,0,0,0,0,89.11575049129736,0,19.1108942073487,21.1320227278906,0,0.182690817593938,6.00860089426504,0.0731264330918239,-0.32222359215167,81.044557951704,0,107.91017049759148,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-02-01,2001,2,12060412,16859328,0,0,0,0,0,39206501.56,0,23.74491,1.0588408217019627,574355,22.233734453681453,31.080681308359654,0,0,0,0,0,72.27837196133,0,23.5131605230951,51.6278180620827,0,0.147739517630678,19.1498309350137,0.333467188842383,-0.340245107192503,67.139548522805,0,101.3350970294349,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-03-01,2001,3,9868586,15359075,0,0,0,0,0,34380058.39,0,25.40897,1.0548344774266103,574355,18.124199765388237,28.207784125464414,0,0,0,0,0,63.14086397038765,0,19.6963247137422,46.4244957691581,0,0.103603596242926,20.1778372592368,0.681410052939814,-0.288996469809486,66.3584453430421,0,98.16189360129408,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-04-01,2001,4,11044904,16011177,0,0,0,0,0,40436418.24,0,22.656860000000002,1.048753217409534,574355,20.16762908998691,29.235879191899663,0,0,0,0,0,73.83556115941808,0,21.4149639524292,38.4159237512137,0,0.0534939672479523,8.66207599257504,0.559922978679027,-0.570622587365714,69.3127464753393,0,92.10367046308824,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-05-01,2001,5,10955892,5449593,0,0,0,0,0,45464813.59,0,25.08896,1.0444712514353984,574355,19.9234170988867,9.910148288991282,0,0,0,0,0,82.67829260061184,0,19.0345984331758,17.4572371715775,0,0.0138065041845042,2.11611701129253,0.437227704716495,-0.151528921548265,71.5050614515754,0,94.94618280707023,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-06-01,2001,6,12108022,17691499,0,0,0,0,0,39447554.75,0,26.241,1.0390657904605851,574355,21.904625972341417,32.00569576806618,0,0,0,0,0,71.36458228455565,0,23.070651866881,29.6608643820017,0,-0.033507946207281,-3.21981355471292,0.159133253975472,-0.0891243375663078,78.5967275039363,0,99.23902854658344,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-07-01,2001,7,11008480,16891835,0,0,0,0,0,35884424.73,0,26.04899,1.0254287471246044,574355,19.654067352327854,30.15795666562586,0,0,0,0,0,64.06651059392026,0,20.5695184982132,25.0197784423742,0,-0.03998278724724,-4.92796636309648,-0.0337689153516474,-0.026581278176119,75.4005944298866,0,94.39411207682929,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-08-01,2001,8,10730150,17447626,0,0,0,0,0,37780192.6,0,25.34497,1.0183029227002607,574355,19.024023654381356,30.933775365376913,0,0,0,0,0,66.98240729994299,0,17.9009709803995,25.8642330362313,0,-0.0556635502775958,-6.60368221202882,-0.197759054964076,0.21467803680497,71.241404683524,0,93.9902566702071,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-09-01,2001,9,11199301,17181499,0,0,0,0,0,40863830.98,0,25.34497,1.0154607785646623,574355,19.800386368778895,30.376924291506064,0,0,0,0,0,72.24733417848816,0,19.8367320683454,26.4217205151455,0,-0.0531458935793574,-6.58188377986342,-0.336976842763098,0.509470825019524,76.4363822194355,0,97.18855948457401,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-10-01,2001,10,11667993,17784403,0,0,0,0,0,39052794.72,0,25.92099,1.0071019549948552,574355,20.459225672565378,31.18403605734497,0,0,0,0,0,68.47706716320874,0,19.972140689985,24.1299671110273,0,-0.0411663017389034,-4.89053506935453,-0.389897220311193,0.164704465298559,73.3113125282367,0,96.71181555058409,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2001-11-01,2001,11,13353874,19240657,0,0,0,0,0,40589424.26,0,23.36089,1,574355,23.25020936528802,33.49958997484134,0,0,0,0,0,70.66957588947602,0,21.697542158658,24.9328278985818,0,-0.0182639710363048,-3.06126972748078,-0.343912992330594,0.28308253068135,71.9987622356203,0,95.79490624106249,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2001-12-01,2001,12,11780624,22752255,0,0,0,0,0,49227249.17,0,31.87322,0.9935398449783466,574355,20.37854522500577,39.35766539093037,0,0,0,0,0,85.1550582985649,0,18.2424855146022,28.7156142196975,0,0.00801930925650954,-1.23956632891069,-0.30547686472855,0.177627099024888,78.8312908705366,0,89.6460418168625,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-01-01,2002,1,11910232,17689812,0,0,0,0,0,53286476.74,0,20.9288,0.9883978749560942,586942,20.056577990728336,29.789268086408562,0,0,0,0,0,89.73329626047095,0,20.9387714454808,35.6469849057387,0,0.0291285639921528,1.14753366546216,0.0549685057439228,-0.160572761562363,82.1097383308758,0,89.97149355767301,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-02-01,2002,2,11106480,17233693,0,0,0,0,0,62257387.15,0,21.24881,0.9848521305451046,586942,18.63598190427094,28.9170638124555,0,0,0,0,0,104.46401923332955,0,19.2362843209598,39.0539880622244,0,0.0365962368618962,7.33952753114635,0.192122995902545,-0.168179325154587,98.7625155961787,0,92.23166927380957,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-03-01,2002,3,11433129,17645236,0,0,0,0,0,47644581.89,0,24.57694,0.978979240165035,586942,19.069679697702373,29.431050652045215,0,0,0,0,0,79.4679143367709,0,20.4572173852424,37.3687445334274,0,0.0338528217305416,7.12560663764543,0.373891343410183,-0.176376147647791,81.6578290577005,0,94.37695897818148,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-04-01,2002,4,12025351,18739361,0,0,0,0,0,49761140.54,0,21.95284,0.9712079295486781,586942,19.89824590301278,31.007861079757877,0,0,0,0,0,82.33933553201882,0,20.4539539496368,32.7552888210322,0,0.0187187479131965,1.08243985008862,0.268986590859798,-0.419697268155132,80.6565487739373,0,88.84090210190128,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-05-01,2002,5,15023114,21776432,0,0,0,0,0,57031987.16,0,24.83295,0.9691748016919418,586942,24.80657975020604,35.9578444976813,0,0,0,0,0,94.17278853087761,0,23.3286817452408,37.365056245765,0,0.00543134187338728,-0.632102566865478,0.171790313960305,-0.112482778809133,81.6311919552193,0,93.18362663151744,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-06-01,2002,6,12477622,19029109,0,0,0,0,0,40151882.84,0,23.36089,0.9651236321154114,586942,20.517270641397555,31.290047047238165,0,0,0,0,0,66.02276034567856,0,22.0573614048835,30.8207157685908,0,-0.0134272773702081,-2.02646616768944,0.0633937309930072,-0.048069468130843,70.5489892292539,0,88.88643620476832,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-07-01,2002,7,13809311,21231684,0,0,0,0,0,43903151.52,0,25.40897,0.9537715214777861,586942,22.43991325042326,34.501152673033396,0,0,0,0,0,71.34193092826919,0,23.6068613484131,33.530006590716,0,-0.00949331822065566,-1.69221973262366,-0.0349208321802426,-0.0124608290437828,84.0202035275742,0,93.143297344383,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-08-01,2002,8,15347958,22493793,0,0,0,0,0,41570615.66,0,25.34497,0.9476137858458301,586942,24.77917168201082,36.316072700134654,0,0,0,0,0,67.11547049881342,0,24.2544275406125,35.5217711885596,-6.44080051560627e-9,-0.0158975726692081,-1.55832415754883,-0.106519231376877,0.133929546504401,70.2859483392441,0,94.47129608469052,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-09-01,2002,9,14269001,21332230,0,0,0,0,0,45893733.3,0,23.6809,0.9408415091579684,586942,22.872563958647635,34.19460094337241,0,0,0,0,0,73.56558109466575,0,23.13269637053,34.4817595255018,-4.79195558361106e-8,-0.0141786201495511,-0.967854677904832,-0.141749362493064,0.315034099900131,79.8024716532559,0,91.43650231164989,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-10-01,2002,10,15037044,21727388,0,0,0,0,0,60475785.87,0,22.46486,0.9286738240359725,586942,23.791974596599285,34.37759863883195,0,0,0,0,0,95.68625064397084,0,23.5941055469133,32.9871384901404,-1.71582925735751e-7,-0.00911573552878847,-0.474759720974703,-0.13809886957245401,0.140819920066287,101.640000683107,0,83.06845357997187,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-11-01,2002,11,19264836,27530884,0,0,0,0,0,53044541.31,0,18.88072,0.9014480711572056,586942,29.587675193392013,42.2829892545648,0,0,0,0,0,81.46784426624473,0,28.4574249333458,38.6599416321528,-4.00162254559312e-7,-0.00228106901727608,-0.257811184926076,-0.103820294954563,0.136426289306968,81.8664605494677,0,78.90855508483057,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2002-12-01,2002,12,17971969,30558386,0,0,0,0,0,51953730.02,0,29.12111,0.8829089411603213,586942,27.034378388931305,45.96752699044946,0,0,0,0,0,78.15152563845729,0,24.5696717300821,35.5001479370753,-6.96109812628421e-7,0.00436188395735491,-0.224674327598924,-0.126226053486504,0.089973525756895,71.8311027597708,0,77.29133317451573,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-01-01,2003,1,16628446,23349026,0,0,0,0,0,56599243.44,0,19.71275,0.863478577730045,600595,23.906803922678105,33.56901699458344,0,0,0,0,0,81.37302879006282,0,25.0971681380193,36.9825684493745,-9.8943514308653e-7,0.00833850832424046,-0.251269206532968,0.0129576233470427,-0.0904886696861016,73.8024929194736,0,86.46830795122777,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-02-01,2003,2,17915197,7146231,0,0,0,0,0,59596405.44,0,17.34466,0.8501295770924695,600595,25.35858415261246,10.115339518036441,0,0,0,0,0,84.35745710993024,0,25.2100792991842,15.7761868813531,-7.54358209612695e-7,0.0074649050069968,2.2792424584076,0.06731142820494,-0.0819635387750295,78.3718864130952,0,78.15538624581964,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-03-01,2003,3,16198626,21841730,0,0,0,0,0,51691819.19,0,20.28877,0.8397987400267664,600595,22.650181411708086,30.540809254164326,0,0,0,0,0,72.27953050800193,0,23.8375442127536,34.4282749637496,1.31614364726321e-6,0.00585687823990948,2.21555963542445,0.127486781288684,-0.113106934034291,74.6142522398786,0,77.44827088208689,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-04-01,2003,4,15550265,24325910,0,0,0,0,0,49217121.27,0,20.16077,0.8317315463517589,600595,21.534721325734704,33.68763766050952,0,0,0,0,0,68.15813048873059,0,21.0135120127813,33.3542624166435,6.14334635726508e-6,1.76976306242546e-4,-0.496653397195456,0.0904630262825434,-0.215920886638919,67.4523099729171,0,81.37216523732668,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-05-01,2003,5,19637044,27447622,0,0,0,0,0,69033016.42,0,20.9288,0.8266880881340372,600595,27.029379799971636,37.78023818880566,0,0,0,0,0,95.02039204851089,0,25.514109536062,36.8236033725463,1.37554842370616e-5,-0.00181453591897825,-0.677506163912185,0.0654029783541201,-0.0927067426963433,81.1553946571903,0,77.05516406221543,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-06-01,2003,6,14777435,22207168,0,0,0,0,0,48479055.62,0,19.32874,0.8279308394974325,600595,20.37095574416827,30.612974209076867,0,0,0,0,0,66.82923636978217,0,22.4750801071501,32.3713500175892,2.59665670480395e-5,-0.00607807959552257,-0.700555083713839,0.0269297177617252,-0.0379546469721494,70.9392086924618,0,74.80295343014626,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-07-01,2003,7,16320788,24268126,0,0,0,0,0,40647371.77,0,21.63283,0.8262784573174649,600595,22.453592738609867,33.38727380891592,0,0,0,0,0,55.921290786844835,0,24.1276443504857,34.1729697222945,5.01840327564239e-5,-8.09079414237994e-5,-0.597051722299114,-0.0108164558075011,0.0195690269139078,68.2799079425118,0,80.68364658363315,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-08-01,2003,8,17483331,24603910,0,0,0,0,0,53325830.41,0,21.50482,0.8234788453536597,600595,23.971483653403446,33.73454557228309,0,0,0,0,0,73.11531606748619,0,23.7184075381167,33.5172357631131,8.71602741036829e-5,-1.46772652708073e-4,-0.343127520476195,-0.0360973146478253,0.0891306822714484,74.8297769356739,0,80.1864437262594,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-09-01,2003,9,17616722,25390900,0,0,0,0,0,46269847.91,0,20.67279,0.8171048751162632,600595,23.967414696705642,34.54412403298317,0,0,0,0,0,62.94977197304179,0,24.3752096261494,34.6135730014469,1.39151852157923e-4,4.67573622829752e-4,-0.0354740831151479,-0.0477860268530483,0.150086999440205,71.146002349159,0,80.25010135010332,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AC,2003-10-01,2003,10,17554928,25177471,0,0,0,0,0,47804236.7,0,23.93691,0.8147427661461066,600595,23.814301814393627,34.15473383412014,0,0,0,0,0,64.8492845302762,0,23.5378849671323,34.6391210855138,2.23562394058887e-4,0.00113064186502809,0.0292177407317533,-0.0463060220446585,0.097653776463156,72.7286001823243,0,88.2913307538464,FALSE,TRUE,FALSE,,post,FALSE,2001-11-06,2001-11-06
AL,1998-11-01,1998,11,36586076,39355692,3963204,5581068,15737845,3265504,137869,30488352.72,0,,1.2391220586211642,2713203,16.7088912292926,17.973777151765084,1.8099985512383823,2.548878380815849,7.187486853973255,1.4913583830312904,0.06296488655660534,13.924055953931413,0,16.172148401024,17.2381904196943,1.83211175639198,2.61332356417524,7.12317818177387,1.40717805162486,0.0667640370386823,13.8159889172468,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
