pre_rmspe,post_rmspe,mean_abs_gap_post,post_pre_ratio,pseudo_treated_state,outcome,short_label,channel_slug
0.6506471853394399,1.5852141296659767,1.344551805680932,2.4363651536261965,CE,va_icms_total_real_pc_sa,ICMS total VA,tax_base
0.6023133793395337,1.8747106838043488,1.6853557181345271,3.1125170851427235,CE,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.13027775564087477,0.5167787791127342,0.47144237972145275,3.9667461000578856,CE,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.8190949849869713,2.829653573119701,1.995201836441095,3.454609813249815,CE,retail_volume_index_sa,Retail volume,consumption
2.6629020640082786,12.202590350562405,5.435966222055042,4.582440531888997,DF,va_icms_total_real_pc_sa,ICMS total VA,tax_base
2.978874176163825,13.390953746601859,6.315327880653361,4.495306936342858,DF,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.5605193337468167,2.6695145791527928,2.0861340876272303,4.762573596361614,DF,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.9279852708690438,6.598686154229972,5.486804492725477,7.110766044864489,DF,retail_volume_index_sa,Retail volume,consumption
7.423061663025173,8.990808989640591,7.1773383623162825,1.2111995558954447,ES,va_icms_total_real_pc_sa,ICMS total VA,tax_base
8.484859428732067,8.934106497663738,6.841955367784191,1.0529469076895248,ES,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.6350454879580945,1.2676418409181336,1.1254984594119246,1.9961433707592662,ES,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.5898597376713793,5.126296493914352,4.079649675844213,8.690704190375335,ES,retail_volume_index_sa,Retail volume,consumption
1.263434537557878,3.5440783072038347,2.3777268676600403,2.805114314869266,GO,va_icms_total_real_pc_sa,ICMS total VA,tax_base
1.6645996180166442,3.0231171525432896,2.332142654054575,1.8161226999110496,GO,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.129599947109644,0.20812695540739978,0.17706140775472543,1.6059185211805715,GO,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.3263035350465891,3.665326516445878,2.816225319265024,11.232874065929284,GO,retail_volume_index_sa,Retail volume,consumption
1.0331557105166287,1.4061115981198344,1.164764051419301,1.3609871036929269,MA,va_icms_total_real_pc_sa,ICMS total VA,tax_base
1.0140859777898055,1.3973785673640509,0.9988713974219737,1.3779685332102012,MA,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.3888288282121889,1.6994873216540622,1.5329958144150422,4.370785287367196,MA,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.5834809823127337,7.226084436516016,5.106458037349454,12.384438663063374,MA,retail_volume_index_sa,Retail volume,consumption
1.23954037829726,4.920835401485138,3.9585082453053504,3.9698871352983462,MG,va_icms_total_real_pc_sa,ICMS total VA,tax_base
1.6776590916676497,4.3728529441697965,3.57464407173704,2.606520577326013,MG,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.23351726546152873,0.555789723603226,0.4657268196766827,2.3800797876968574,MG,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.34259544065911046,2.6486057811974084,2.0617743545054026,7.731001253553826,MG,retail_volume_index_sa,Retail volume,consumption
1.7608706124980193,7.490640902000981,5.434274351912836,4.253941685911013,MS,va_icms_total_real_pc_sa,ICMS total VA,tax_base
2.679454111357977,6.779739305706927,4.095023128706455,2.530268862216446,MS,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.41251081629064495,0.8380903576069081,0.707784728522293,2.0316809269224354,MS,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
1.234540010781033,5.201535067978275,3.6445976183338673,4.213338589720975,MS,retail_volume_index_sa,Retail volume,consumption
2.0819835791466024,9.702536492104874,6.934570167860384,4.660236799793545,MT,va_icms_total_real_pc_sa,ICMS total VA,tax_base
2.432327314422002,9.317187246326617,6.793361195701231,3.830564739820255,MT,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.38416768760073977,0.8705856434989294,0.7293220199730587,2.266160511666242,MT,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
1.4694374736450722,6.39731289050755,5.193462461688706,4.353579519541201,MT,retail_volume_index_sa,Retail volume,consumption
0.8533956416259171,1.8240035546912432,1.4673602289834793,2.1373481017738647,PA,va_icms_total_real_pc_sa,ICMS total VA,tax_base
0.8705380169781942,2.014769930426221,1.7382736131434882,2.3143962597060117,PA,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.6872598589425731,1.2211074066519778,1.1168268892013162,1.776776849052103,PA,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.82773707883584835,6.473189265003946,5.330226025955889,7.820344684942728,PA,retail_volume_index_sa,Retail volume,consumption
0.9119803523210498,2.6729011770759885,2.146429089944777,2.930875835508166,PB,va_icms_total_real_pc_sa,ICMS total VA,tax_base
0.9620864666426967,2.722870210867291,2.350481955709533,2.8301720326334463,PB,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.30020172285283997,0.6426852658092976,0.5323154838806967,2.140844695033094,PB,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.6787041044271928,4.253179032601669,3.629242539768601,6.266617521329465,PB,retail_volume_index_sa,Retail volume,consumption
1.1685812218260943,1.6420635110319608,1.2427349027419234,1.4051770474849623,PE,va_icms_total_real_pc_sa,ICMS total VA,tax_base
1.380526803979978,1.2680411271441858,0.9938960043313664,0.9185197444109723,PE,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.2725068205648488,2.0896458354184677,1.8431962600416696,7.668233151328379,PE,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.5376630414127674,4.313866010447615,3.33946346213961,8.023363478941139,PE,retail_volume_index_sa,Retail volume,consumption
2.836301151553803,6.086545944217684,3.7016241764496907,2.145944883491412,PR,va_icms_total_real_pc_sa,ICMS total VA,tax_base
2.780443162537121,4.875447547319054,3.928461800683921,1.7534785867984681,PR,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.17155342028797593,0.520574936564006,0.40585489657225127,3.034477165714036,PR,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.40173167053001835,1.6313422306991663,1.2263283014930628,4.060775762455772,PR,retail_volume_index_sa,Retail volume,consumption
2.306271199348422,7.298240919806642,6.284337301279877,3.1645198196415816,RJ,va_icms_total_real_pc_sa,ICMS total VA,tax_base
2.833654072768004,5.509943748817105,4.634951448481665,1.9444659112658784,RJ,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
